mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.024,0.033,-0.093,-0.023,0.042,-0.023,0,-2.37142902420907,-8.88064997038595,4.28944787507632,0.7913,TRFL,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.008,0.063,-0.135,-0.009,0.121,-0.009,0,-0.796808516293934,-12.6284088311966,12.8624912367344,0.563,TRFL,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.001,0.027,-0.061,0.003,0.05,0.005,0,0.100050016670838,-5.91767602239903,5.12710963760241,0.5503,TRFL,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.016,0.017,-0.049,-0.016,0.018,-0.017,0,-1.58726799447149,-4.78188703014951,1.81629763897937,0.8413,TRFL,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.01,0.038,-0.085,-0.01,0.063,-0.01,0,-0.995016625083189,-8.14877155985426,6.50268392313054,0.5955,TRFL,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,L,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.004,0.016,-0.035,-0.004,0.027,-0.004,0,-0.399201065600852,-3.43945837424335,2.73678027634894,0.6264,TRFL,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,L,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.053,0.008,-0.068,-0.053,-0.037,-0.052,0,-5.16199875177018,-6.57395264227865,-3.63238646509465,1,LEFL,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.062,0.032,-0.126,-0.062,0,-0.062,0,-6.01171132089111,-11.8385153216584,0,0.9754,LEFL,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.044,0.009,-0.062,-0.044,-0.027,-0.044,0,-4.30460425269533,-6.01171132089111,-2.66387584756632,1,LEFL,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.074,0.022,-0.121,-0.073,-0.032,-0.071,0,-7.13283061587128,-11.3966040407124,-3.14934179208024,0.9991,LEFL,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.124,0.051,-0.226,-0.123,-0.025,-0.123,0,-11.6620159117249,-20.2281898334326,-2.46900879716674,0.9931,LEFL,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
