mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.199,0.132,-0.078,0.201,0.444,0.203,0,22.0181965899872,-7.50355734564607,55.8930485621915,0.9425,GWFG,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,130,127,Greater White-fronted Goose,Oie rieuse
0.203,0.073,0.061,0.203,0.341,0.202,0,22.5072468247499,6.28989141871952,40.6353240862169,0.9969,GWFG,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,130,127,Greater White-fronted Goose,Oie rieuse
0.278,0.133,-0.01,0.281,0.521,0.285,0,32.0486197209095,-0.995016625083189,68.3710518642818,0.9725,GWFG,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,130,127,Greater White-fronted Goose,Oie rieuse
-0.006,0.03,-0.065,-0.006,0.053,-0.006,0,-0.598203594606472,-6.29325366225966,5.4429645119356,0.592,CAGO,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
0.11,0.086,-0.047,0.104,0.296,0.096,0,11.6278070458871,-4.59126024096289,34.4470156832053,0.9241,CAGO,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
-0.007,0.035,-0.071,-0.009,0.068,-0.013,0,-0.697555706676489,-6.85381078724079,7.03653084787743,0.6174,CAGO,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
0.119,0.038,0.045,0.118,0.195,0.116,0,12.6369918288353,4.60278599087169,21.5310986489731,0.9974,CAGO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.092,0.024,0.044,0.091,0.137,0.091,0,9.63648220808169,4.49823548884438,14.6828148520398,0.9989,CAGO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.082,0.033,0.018,0.081,0.15,0.08,0,8.5455809829549,1.81629763897937,16.1834242728283,0.9882,CAGO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.093,0.07,-0.049,0.093,0.227,0.093,0,9.7461735268082,-4.78188703014951,25.4829867940279,0.9178,TUSW,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,290,203,Tundra Swan,Cygne siffleur
0.003,0.177,-0.35,0,0.352,-0.004,0,0.300450450337708,-29.5311910281287,42.1908523718577,0.495,TUSW,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,290,203,Tundra Swan,Cygne siffleur
0.134,0.097,-0.046,0.129,0.335,0.123,0,14.3392819644647,-4.49580378092853,39.7940385222467,0.9355,TUSW,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,290,203,Tundra Swan,Cygne siffleur
-0.004,0.037,-0.075,-0.005,0.069,-0.007,0,-0.399201065600852,-7.22565136714471,7.14362091483463,0.5742,AMWI,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.152,0.028,-0.208,-0.152,-0.1,-0.151,0,-14.1011719258877,-18.7792963288061,-9.51625819640405,1,AMWI,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.023,0.042,-0.102,-0.025,0.065,-0.027,0,-2.27375162267229,-9.69704483311232,6.71590243841926,0.753,AMWI,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.008,0.05,-0.108,-0.009,0.088,-0.01,0,-0.796808516293934,-10.2372403569565,9.19881220281975,0.59,MALL,1995-2017,all years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.015,0.089,-0.192,-0.016,0.158,-0.017,0,-1.48880603969374,-17.4693131508318,17.1166194707669,0.5859,MALL,2007-2017,10-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.038,0.044,-0.116,-0.041,0.058,-0.047,0,-3.72870591088005,-10.9524776702527,5.97149957102876,0.8318,MALL,1997-2017,20-years,Fall,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.018,0.027,-0.071,-0.018,0.036,-0.02,0,-1.78389676416992,-6.85381078724079,3.66558464909237,0.7721,MALL,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.025,0.016,-0.006,0.025,0.054,0.025,0,2.53151205244289,-0.598203594606472,5.54846021550801,0.9495,MALL,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.031,0.031,-0.085,-0.033,0.034,-0.036,0,-3.05244269239741,-8.14877155985426,3.45846067281179,0.8757,MALL,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.03,0.045,-0.059,0.03,0.116,0.029,0,3.04545339535169,-5.72932308429003,12.2995872133255,0.7705,BWTE,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
0.063,0.067,-0.071,0.062,0.196,0.06,0,6.50268392313054,-6.85381078724079,21.6526905334316,0.8553,BWTE,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
