mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.061,0.048,-0.152,-0.062,0.044,-0.065,0,-5.91767602239903,-14.1011719258877,4.49823548884438,0.909,CAGO,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
-0.032,0.217,-0.471,-0.034,0.426,-0.038,0,-3.14934179208024,-37.5622421588589,53.1120775133247,0.5882,CAGO,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
-0.084,0.058,-0.201,-0.085,0.035,-0.085,0,-8.05687439048753,-18.2087568446141,3.56197087996233,0.9346,CAGO,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
0.126,0.054,0.031,0.122,0.251,0.117,0,13.4282168283025,3.14855038865227,28.5310084331195,0.9916,CAGO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
0.194,0.063,0.08,0.19,0.336,0.184,0,21.4096282956233,8.32870676749586,39.9339024810931,0.9983,CAGO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
0.08,0.055,-0.019,0.076,0.206,0.071,0,8.32870676749586,-1.8820637757194,22.8753203995312,0.949,CAGO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
-0.081,0.016,-0.113,-0.081,-0.051,-0.081,0,-7.78063085553919,-10.6849339883984,-4.9721329467573,1,AMWI,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.154,0.047,-0.245,-0.157,-0.048,-0.16,0,-14.2727978988543,-21.7295461758132,-4.68662129224953,0.9938,AMWI,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.103,0.022,-0.149,-0.102,-0.062,-0.1,0,-9.78730265184835,-13.8430885101042,-6.01171132089111,0.9999,AMWI,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.123,0.038,-0.197,-0.124,-0.043,-0.126,0,-11.5736337439179,-17.8809366687342,-4.20886099329694,0.9979,MALL,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.146,0.093,-0.336,-0.146,0.039,-0.144,0,-13.5842296815357,-28.5376894183943,3.97704836501578,0.9529,MALL,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.177,0.033,-0.242,-0.177,-0.111,-0.177,0,-16.2220215477006,-21.494382244817,-10.5061251070969,1,MALL,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.052,0.028,-0.106,-0.052,0.006,-0.053,0,-5.06711331571105,-10.0575351924076,0.601803605406492,0.9643,MALL,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.029,0.036,-0.043,0.028,0.101,0.028,0,2.94245944751308,-4.20886099329694,10.6276641763424,0.8011,MALL,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.091,0.033,-0.162,-0.09,-0.026,-0.089,0,-8.69822891007342,-14.9558795459767,-2.56649103912506,0.9936,MALL,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.078,0.033,-0.144,-0.078,-0.013,-0.077,0,-7.50355734564607,-13.4112251940795,-1.29158649797124,0.9888,GWTE,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
