mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.052,0.182,-0.386,0.071,0.348,0.091,0,5.33757425133647,-32.0229474319679,41.6232249740023,0.6739,GWFG,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,130,127,Greater White-fronted Goose,Oie rieuse
-0.212,0.347,-1.053,-0.169,0.345,-0.112,0,-19.10353024335,-65.1110490989847,41.1989919667659,0.7505,GWFG,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,130,127,Greater White-fronted Goose,Oie rieuse
0.154,0.217,-0.381,0.179,0.499,0.206,0,16.649088677844,-31.68221103801,64.7073373515345,0.8065,GWFG,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,130,127,Greater White-fronted Goose,Oie rieuse
-0.055,0.042,-0.148,-0.052,0.016,-0.047,0,-5.35148520465162,-13.7568885057954,1.61286854060949,0.9338,CAGO,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
-0.243,0.202,-0.711,-0.219,0.089,-0.169,0,-21.5728486228444,-50.8847200996317,9.30806563263302,0.9208,CAGO,2008-2018,10-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
-0.089,0.037,-0.169,-0.087,-0.023,-0.083,0,-8.5154426425548,-15.5491096613966,-2.27375162267229,0.9923,CAGO,1998-2018,20-years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,230,168,Canada Goose,Bernache du Canada
0.12,0.037,0.048,0.119,0.194,0.117,0,12.7496851579376,4.91706553244706,21.4096282956233,0.9978,CAGO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.097,0.025,0.05,0.097,0.143,0.097,0,10.1860373621011,5.12710963760241,15.372980166601,0.9986,CAGO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.085,0.036,0.016,0.083,0.157,0.082,0,8.87170666983987,1.61286854060949,16.9995613900914,0.9886,CAGO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.094,0.07,-0.049,0.094,0.228,0.093,0,9.85597459171736,-4.78188703014951,25.6085325432344,0.9169,TUSW,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,290,203,Tundra Swan,Cygne siffleur
0.003,0.178,-0.352,0,0.356,-0.004,0,0.300450450337708,-29.6719878023659,42.7607548263845,0.4939,TUSW,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,290,203,Tundra Swan,Cygne siffleur
0.135,0.098,-0.047,0.129,0.337,0.123,0,14.4536784351315,-4.59126024096289,40.0739063738535,0.9332,TUSW,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,S,290,203,Tundra Swan,Cygne siffleur
-0.003,0.036,-0.073,-0.004,0.07,-0.006,0,-0.2995504496627,-7.03991699742073,7.25081812542165,0.5533,AMWI,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
