SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOWO,-1.517,0.291,-2.121,-1.505,-0.978,-1.482,0,2006,0.219369007801505,1.33776458395004,-1.11839557614853,1.55713359175154,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-1.378,0.264,-1.925,-1.367,-0.887,-1.347,0,2007,0.252082213658588,1.30212819630089,-1.05004598264231,1.55421040995948,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-2.185,0.368,-2.963,-2.165,-1.517,-2.125,0,2008,0.11247773365429,1.44484203897388,-1.33236430531959,1.55731977262817,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-2.005,0.333,-2.704,-1.989,-1.395,-1.957,0,2009,0.134660295695506,1.3951472984698,-1.2604870027743,1.52980759416531,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-2.131,0.328,-2.821,-2.114,-1.531,-2.081,0,2010,0.118718515957403,1.38818897228941,-1.26947045633201,1.50690748824682,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-1.761,0.312,-2.413,-1.747,-1.184,-1.72,0,2011,0.171872904952992,1.36615469302948,-1.19428178807649,1.53802759798247,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-1.737,0.266,-2.289,-1.726,-1.243,-1.706,0,2012,0.176047752451085,1.30473505868693,-1.12868730623584,1.48078281113801,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-1.823,0.311,-2.473,-1.81,-1.251,-1.782,0,2013,0.161540402068389,1.36478922118616,-1.20324881911777,1.52632962325455,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
DOWO,-2.145,0.315,-2.807,-2.13,-1.568,-2.1,0,2014,0.117068037044126,1.370259310957,-1.25319127391287,1.48732734800112,2006-2018,all years,Fall,Poisson,CMMN,MGBO,MGBO,O,10290,Dryobates pubescens,Downy Woodpecker,Pic mineur
