mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.034,0.022,-0.078,-0.034,0.009,-0.034,0,-3.34284953624934,-7.50355734564607,0.904062177386789,0.942,DOWO,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,10290,6179,Downy Woodpecker,Pic mineur
0.019,0.028,-0.037,0.019,0.074,0.019,0,1.91816486174081,-3.63238646509465,7.68068054962199,0.7437,DOWO,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,10290,6179,Downy Woodpecker,Pic mineur
0.039,0.02,0,0.039,0.078,0.039,0,3.97704836501578,0,8.11226586700831,0.9749,YBFL,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,M,12130,8926,Yellow-bellied Flycatcher,Moucherolle à ventre jaune
0.019,0.023,-0.026,0.019,0.064,0.019,0,1.91816486174081,-2.56649103912506,6.60923987615052,0.793,YBFL,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,M,12130,8926,Yellow-bellied Flycatcher,Moucherolle à ventre jaune
-0.048,0.028,-0.098,-0.05,0.019,-0.053,0,-4.68662129224953,-9.33510962460791,1.91816486174081,0.945,TRFL,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.045,0.033,-0.11,-0.046,0.027,-0.047,0,-4.40025181669,-10.4165864703472,2.73678027634894,0.9282,TRFL,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.046,0.038,-0.113,-0.049,0.04,-0.052,0,-4.49580378092853,-10.6849339883984,4.08107741923882,0.8988,SOVI,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,M,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
-0.075,0.046,-0.16,-0.078,0.027,-0.082,0,-7.22565136714471,-14.7856211033789,2.73678027634894,0.945,SOVI,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,M,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
0.041,0.013,0.016,0.041,0.066,0.041,0,4.18521055454795,1.61286854060949,6.82267171659934,0.9994,REVI,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,ML,41384,9930,Red-eyed Vireo,Viréo aux yeux rouges
0.047,0.015,0.017,0.047,0.077,0.047,0,4.81220090796557,1.71453223252407,8.00420763926004,0.9988,REVI,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,ML,41384,9930,Red-eyed Vireo,Viréo aux yeux rouges
0.014,0.055,-0.108,0.016,0.118,0.02,0,1.40984589384923,-10.2372403569565,12.5244111367342,0.6222,BLJA,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,I,13640,10862,Blue Jay,Geai bleu
-0.031,0.058,-0.161,-0.027,0.077,-0.022,0,-3.05244269239741,-14.8707928892849,8.00420763926004,0.7129,BLJA,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,I,13640,10862,Blue Jay,Geai bleu
-0.057,0.03,-0.116,-0.058,0.006,-0.059,0,-5.54059306334767,-10.9524776702527,0.601803605406492,0.963,BCCH,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,I,14280,11181,Black-capped Chickadee,Mésange à tête noire
-0.062,0.045,-0.147,-0.064,0.034,-0.066,0,-6.01171132089111,-13.6706022583681,3.45846067281179,0.922,BCCH,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,I,14280,11181,Black-capped Chickadee,Mésange à tête noire
-0.037,0.064,-0.161,-0.039,0.101,-0.042,0,-3.63238646509465,-14.8707928892849,10.6276641763424,0.749,HOWR,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,L,14780,13346,House Wren,Troglodyte familier
0.005,0.068,-0.136,0.005,0.144,0.005,0,0.501252085940096,-12.7157367511281,15.4884108524914,0.5289,HOWR,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,L,14780,13346,House Wren,Troglodyte familier
0.04,0.052,-0.078,0.044,0.132,0.05,0,4.08107741923882,-7.50355734564607,14.1108319267235,0.8236,GCKI,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
0.051,0.05,-0.05,0.05,0.153,0.05,0,5.23228932832038,-4.8770575499286,16.5324978942738,0.8711,GCKI,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
-0.057,0.036,-0.142,-0.054,0.008,-0.049,0,-5.54059306334767,-13.2378743514086,0.803208550427348,0.9597,RCKI,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
-0.002,0.016,-0.033,-0.002,0.029,-0.002,0,-0.199800133266692,-3.2461440410968,2.94245944751308,0.5429,RCKI,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
0.095,0.019,0.058,0.095,0.133,0.095,0,9.96588551261028,5.97149957102876,14.2249998330894,1,VEER,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,L,15550,13856,Veery,Grive fauve
0.075,0.021,0.034,0.075,0.117,0.075,0,7.78841508846315,3.45846067281179,12.4119429690537,0.9998,VEER,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,L,15550,13856,Veery,Grive fauve
0.241,0.042,0.157,0.241,0.324,0.241,0,27.2521035308229,16.9995613900914,38.264730711948,1,SWTH,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,15580,13861,Swainson's Thrush,Grive à dos olive
0.258,0.056,0.147,0.258,0.371,0.257,0,29.4338818624238,15.8353963029855,44.9183073386645,0.9997,SWTH,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,15580,13861,Swainson's Thrush,Grive à dos olive
0.033,0.037,-0.041,0.034,0.105,0.034,0,3.35505392413056,-4.01708700522011,11.0710610355705,0.8484,HETH,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,15590,13865,Hermit Thrush,Grive solitaire
-0.001,0.024,-0.048,-0.001,0.047,-0.001,0,-0.0999500166624978,-4.68662129224953,4.81220090796557,0.5271,HETH,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,M,15590,13865,Hermit Thrush,Grive solitaire
-0.018,0.02,-0.056,-0.018,0.021,-0.018,0,-1.78389676416992,-5.44608641096037,2.12220516375285,0.8192,AMRO,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,L,15770,13974,American Robin,Merle d'Amérique
-0.029,0.024,-0.076,-0.029,0.018,-0.029,0,-2.85835355333952,-7.31837934406178,1.81629763897937,0.8872,AMRO,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,L,15770,13974,American Robin,Merle d'Amérique
