mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.009,0.016,-0.023,0.009,0.04,0.009,0,0.904062177386789,-2.27375162267229,4.08107741923882,0.7022,CAGO,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.015,0.02,-0.055,-0.015,0.023,-0.015,0,-1.48880603969374,-5.35148520465162,2.32665395472176,0.7793,CAGO,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.086,0.046,-0.191,-0.083,-0.006,-0.079,0,-8.24057687798491,-17.3867411848806,-0.598203594606472,0.9809,CAGO,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.027,0.034,-0.105,-0.025,0.031,-0.022,0,-2.66387584756632,-9.96754774137344,3.14855038865227,0.8041,CAGO,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.201,0.107,-0.425,-0.199,-0.001,-0.195,0,-18.2087568446141,-34.6230214870153,-0.0999500166624978,0.9729,WODU,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.147,0.174,-0.468,-0.157,0.22,-0.171,0,-13.6706022583681,-37.3746476342444,24.6076730587381,0.8312,WODU,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.047,0.023,-0.091,-0.048,-0.003,-0.049,0,-4.59126024096289,-8.69822891007342,-0.2995504496627,0.9784,WODU,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.052,0.034,-0.116,-0.055,0.02,-0.058,0,-5.06711331571105,-10.9524776702527,2.02013400267558,0.9294,WODU,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.365,0.101,-0.601,-0.356,-0.198,-0.343,0,-30.5803349122021,-45.1736901227695,-17.9630146862169,0.9995,MALL,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,451,310,Mallard,Canard colvert
