SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,1.14,0.267,0.628,1.135,1.68,1.126,0,2006,3.12676836518616,1.30604044633065,1.8207279188555,4.43280881151681,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.073,0.259,1.58,2.067,2.599,2.056,0,2007,7.94863328459553,1.29563380482805,6.65299947976748,9.24426708942358,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.586,0.267,1.078,1.58,2.129,1.568,0,2008,4.88417311035035,1.30604044633065,3.5781326640197,6.19021355668101,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.915,0.279,1.382,1.91,2.48,1.9,0,2009,6.78693879699931,1.32180734386954,5.46513145312977,8.10874614086885,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.454,0.264,0.948,1.449,1.987,1.44,0,2010,4.28020112366435,1.30212819630089,2.97807292736345,5.58232931996524,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.942,0.27,1.429,1.936,2.492,1.925,0,2011,6.97268239936346,1.30996445073325,5.66271794863022,8.28264685009671,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.178,0.257,1.688,2.172,2.702,2.161,0,2012,8.82863132702678,1.29304512675935,7.53558620026742,10.1216764537861,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.907,0.258,1.408,1.904,2.425,1.898,0,2013,6.73285989066916,1.29433881862424,5.43852107204493,8.0271987092934,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.099,0.253,1.614,2.094,2.612,2.084,0,2014,8.15800782437935,1.28788327683463,6.87012454754472,9.44589110121398,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
