mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.004,0.026,-0.045,0.003,0.061,0.002,0,0.400801067734191,-4.40025181669,6.28989141871952,0.5561,CAGO,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.02,0.02,-0.06,-0.02,0.02,-0.02,0,-1.98013266932447,-5.82354664157513,2.02013400267558,0.8363,CAGO,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.091,0.048,-0.199,-0.088,-0.002,-0.083,0,-8.69822891007342,-18.0450106667074,-0.199800133266692,0.9767,CAGO,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.028,0.032,-0.102,-0.026,0.032,-0.024,0,-2.76116331987531,-9.69704483311232,3.25175053051183,0.828,CAGO,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.181,0.103,-0.399,-0.179,0.022,-0.176,0,-16.556464130421,-32.9009298646554,2.22437844704382,0.9649,WODU,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.128,0.168,-0.439,-0.137,0.244,-0.15,0,-12.0146620855356,-35.5319220370199,27.6344330489455,0.8165,WODU,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.051,0.025,-0.1,-0.052,0.001,-0.053,0,-4.9721329467573,-9.51625819640405,0.100050016670838,0.9744,WODU,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.061,0.036,-0.127,-0.064,0.02,-0.067,0,-5.91767602239903,-11.9266327402843,2.02013400267558,0.9468,WODU,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.328,0.093,-0.533,-0.323,-0.156,-0.315,0,-27.9636980294699,-41.3158199155053,-14.4440809628982,0.9987,MALL,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.346,0.123,-0.596,-0.347,-0.091,-0.345,0,-29.2487512893498,-44.8988721008659,-8.69822891007342,0.9917,MALL,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,451,310,Mallard,Canard colvert
