SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,3.059,0.398,2.245,3.06,3.851,3.06,0,2006,21.3062402650898,1.48884402990728,19.8173962351825,22.795084294997,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.15,0.398,3.341,4.15,4.946,4.148,0,2007,63.4340002981233,1.48884402990728,61.9451562682161,64.9228443280306,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.993,0.398,3.185,3.994,4.789,3.992,0,2008,54.2172975218482,1.48884402990728,52.728453491941,55.7061415517555,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.366,0.399,3.555,4.366,5.162,4.365,0,2009,78.7280886795301,1.4903336186074,77.2377550609227,80.2184222981376,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.835,0.397,3.024,3.837,4.627,3.836,0,2010,46.2934276679504,1.48735593005131,44.8060717378991,47.7807835980017,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.462,0.396,3.656,4.463,5.255,4.46,0,2011,86.6606572049146,1.48586931755139,85.1747878873632,88.146526522466,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,5.074,0.398,4.265,5.075,5.87,5.073,0,2012,159.812299746848,1.48884402990728,158.32345571694,161.301143776755,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.777,0.398,2.964,3.778,4.568,3.777,0,2013,43.6847905855307,1.48884402990728,42.1959465556234,45.1736346154379,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.035,0.396,3.231,4.035,4.83,4.032,0,2014,56.542920238323,1.48586931755139,55.0570509207716,58.0287895558744,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.784,0.399,2.972,3.785,4.581,3.784,0,2015,43.991656898689,1.4903336186074,42.5013232800816,45.4819905172964,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.378,0.399,2.566,3.38,4.173,3.378,0,2016,29.3120882734636,1.4903336186074,27.8217546548562,30.802421892071,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.853,0.396,3.049,3.853,4.649,3.85,0,2017,47.1342541016861,1.48586931755139,45.6483847841347,48.6201234192374,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.261,0.398,3.456,4.261,5.06,4.257,0,2018,70.8808288545272,1.48884402990728,69.3919848246199,72.3696728844345,2006-2018,all years,Fall,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,5.336,0.479,4.342,5.342,6.275,5.343,0,2006,207.680325327709,1.61445913555862,206.06586619215,209.294784463268,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.545,0.479,3.549,4.551,5.482,4.553,0,2007,94.1604272094068,1.61445913555862,92.5459680738482,95.7748863449654,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.744,0.479,3.75,4.749,5.684,4.75,0,2008,114.892855182346,1.61445913555862,113.278396046787,116.507314317904,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.045,0.479,3.049,4.05,4.984,4.052,0,2009,57.1111860341449,1.61445913555862,55.4967268985863,58.7256451697035,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.581,0.48,2.582,3.587,4.52,3.59,0,2010,35.9094323306607,1.61607440219289,34.2933579284678,37.5255067328536,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.599,0.48,3.602,4.605,5.539,4.607,0,2011,99.3848810518731,1.61607440219289,97.7688066496802,101.000955454066,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.132,0.479,3.135,4.138,5.071,4.14,0,2012,62.3024032194215,1.61445913555862,60.6879440838629,63.9168623549802,2006-2018,all years,Spring,NegBinomial,CMMN,MGBO,MGBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
