mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.021,0.053,-0.074,0.017,0.144,0.011,0,2.12220516375285,-7.13283061587128,15.4884108524914,0.6492,CAGO,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.034,0.05,-0.126,-0.036,0.077,-0.04,0,-3.34284953624934,-11.8385153216584,8.00420763926004,0.7951,CAGO,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.065,0.036,-0.145,-0.063,0.003,-0.06,0,-6.29325366225966,-13.4977706889259,0.300450450337708,0.9715,CAGO,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.02,0.029,-0.081,-0.019,0.035,-0.018,0,-1.98013266932447,-7.78063085553919,3.56197087996233,0.7766,CAGO,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.093,0.09,-0.299,-0.087,0.07,-0.077,0,-8.88064997038595,-25.8440590564989,7.25081812542165,0.8813,WODU,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.003,0.122,-0.244,-0.005,0.25,-0.01,0,-0.2995504496627,-21.6512365737137,28.4025416687741,0.5236,WODU,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.05,0.022,-0.092,-0.05,-0.005,-0.051,0,-4.8770575499286,-8.78948504549096,-0.498752080731768,0.9843,WODU,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.032,0.033,-0.094,-0.034,0.042,-0.037,0,-3.14934179208024,-8.9717237759233,4.28944787507632,0.8501,WODU,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.11,0.035,-0.188,-0.109,-0.045,-0.107,0,-10.4165864703472,-17.1385292767319,-4.40025181669,0.9964,MALL,2006-2018,all years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.089,0.051,-0.193,-0.089,0.015,-0.089,0,-8.5154426425548,-17.5518025860892,1.51130646157189,0.9595,MALL,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.119,0.042,-0.211,-0.117,-0.042,-0.114,0,-11.219219923805,-19.0225933118724,-4.11302194275155,0.9961,MALL,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.063,0.038,-0.139,-0.063,0.014,-0.063,0,-6.10565263108668,-12.9771971541748,1.40984589384923,0.9569,MALL,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.082,0.034,0.011,0.082,0.148,0.083,0,8.5455809829549,1.10607224447195,15.9512896362974,0.9866,COLO,2006-2018,all years,Spring,CMMN,MGBO,MGBO,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
0.061,0.051,-0.052,0.063,0.155,0.066,0,6.28989141871952,-5.06711331571105,16.7657961105125,0.8998,COLO,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
0.082,0.022,0.04,0.082,0.126,0.082,0,8.5455809829549,4.08107741923882,13.4282168283025,0.9996,DCCO,2006-2018,all years,Spring,CMMN,MGBO,MGBO,Poisson,NA,O,2390,4117,Double-crested Cormorant,Cormoran à aigrettes
0.094,0.032,0.031,0.094,0.161,0.092,0,9.85597459171736,3.14855038865227,17.4684968813872,0.9959,DCCO,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,Poisson,NA,O,2390,4117,Double-crested Cormorant,Cormoran à aigrettes
0.01,0.022,-0.033,0.01,0.053,0.01,0,1.00501670841679,-3.2461440410968,5.4429645119356,0.6764,GBHE,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,2550,4186,Great Blue Heron,Grand Héron
0.009,0.031,-0.052,0.009,0.07,0.009,0,0.904062177386789,-5.06711331571105,7.25081812542165,0.6162,GBHE,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,2550,4186,Great Blue Heron,Grand Héron
-0.154,0.044,-0.242,-0.154,-0.065,-0.155,0,-14.2727978988543,-21.494382244817,-6.29325366225966,0.9973,GBHE,2006-2018,all years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,2550,4186,Great Blue Heron,Grand Héron
-0.116,0.045,-0.215,-0.114,-0.03,-0.112,0,-10.9524776702527,-19.3458559822673,-2.95544664514918,0.9914,GBHE,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,NegBinomial,NA,O,2550,4186,Great Blue Heron,Grand Héron
-0.147,0.049,-0.252,-0.145,-0.052,-0.144,0,-13.6706022583681,-22.2755261931054,-5.06711331571105,0.996,GRHE,2006-2018,all years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,2680,4257,Green Heron,Héron vert
-0.086,0.058,-0.208,-0.086,0.028,-0.085,0,-8.24057687798491,-18.7792963288061,2.8395684421425,0.943,GRHE,2008-2018,10-years,Fall,CMMN,MGBO,MGBO,Poisson,NA,O,2680,4257,Green Heron,Héron vert
-0.024,0.03,-0.085,-0.024,0.036,-0.024,0,-2.37142902420907,-8.14877155985426,3.66558464909237,0.8014,GRHE,2006-2018,all years,Spring,CMMN,MGBO,MGBO,Poisson,NA,O,2680,4257,Green Heron,Héron vert
-0.048,0.041,-0.131,-0.048,0.033,-0.047,0,-4.68662129224953,-12.2782225608956,3.35505392413056,0.8903,GRHE,2008-2018,10-years,Spring,CMMN,MGBO,MGBO,Poisson,NA,O,2680,4257,Green Heron,Héron vert
