SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRFL,-0.026,0.347,-0.741,-0.021,0.65,-0.015,0,1996,0.974335089608749,1.41481672537043,-0.440481635761679,2.38915181497918,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,0.355,0.341,-0.351,0.36,1.023,0.366,0,1997,1.42618065428148,1.40635324086217,0.0198274134193108,2.83253389514365,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.212,0.342,-0.92,-0.207,0.456,-0.2,0,1998,0.8089646975665,1.4077602975141,-0.598795599947603,2.2167249950806,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.303,0.345,-1.015,-0.298,0.37,-0.292,0,1999,0.738599096370483,1.41198991966766,-0.673390823297176,2.15058901603814,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,0.145,0.345,-0.567,0.15,0.818,0.156,0,2000,1.15603957026802,1.41198991966766,-0.255950349399638,2.56802948993568,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.321,0.347,-1.035,-0.316,0.355,-0.31,0,2001,0.725423250990141,1.41481672537043,-0.689393474380288,2.14023997636057,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.689,0.354,-1.415,-0.683,-0.005,-0.676,0,2002,0.502077896006773,1.42475518647989,-0.922677290473115,1.92683308248666,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,0.074,0.344,-0.636,0.079,0.744,0.085,0,2003,1.07680680549622,1.41057863550768,-0.333771830011458,2.4873854410039,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,0.607,0.339,-0.096,0.612,1.271,0.619,0,2004,1.83491837825085,1.40354334521273,0.431375033038127,3.23846172346358,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,0.334,0.34,-0.37,0.339,1,0.345,0,2005,1.39654314357451,1.40494759056359,-0.00840444698908849,2.8014907341381,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-1.274,0.358,-2.006,-1.268,-0.582,-1.26,0,2006,0.279710538951696,1.4304656204799,-1.1507550815282,1.71017615943159,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,0.034,0.342,-0.674,0.04,0.702,0.046,0,2007,1.03458460672812,1.4077602975141,-0.373175690785985,2.44234490424222,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.704,0.353,-1.427,-0.698,-0.02,-0.691,0,2008,0.494602929967057,1.4233311434336,-0.928728213466545,1.91793407340066,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.682,0.348,-1.399,-0.677,-0.006,-0.67,0,2009,0.505604770939691,1.41623224974002,-0.910627478800332,1.92183702067971,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
TRFL,-0.728,0.353,-1.451,-0.723,-0.045,-0.716,0,2010,0.48287377253123,1.4233311434336,-0.940457370902372,1.90620491596483,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,ML,12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
