mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.022,0.018,-0.06,-0.022,0.014,-0.022,0,-2.175976494879,-5.82354664157513,1.40984589384923,0.9048,TRFL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.046,0.041,-0.046,0.049,0.121,0.055,0,4.70744109569372,-4.49580378092853,12.8624912367344,0.8792,TRFL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.011,0.021,-0.054,-0.011,0.031,-0.011,0,-1.09397212246313,-5.25678934982017,3.14855038865227,0.721,TRFL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.012,0.018,-0.053,-0.01,0.022,-0.009,0,-1.19282871380695,-5.16199875177018,2.22437844704382,0.7535,LEFL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.04,0.049,-0.148,-0.037,0.05,-0.032,0,-3.92105608476768,-13.7568885057954,5.12710963760241,0.8187,LEFL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.007,0.021,-0.056,-0.006,0.032,-0.004,0,-0.697555706676489,-5.44608641096037,3.25175053051183,0.6395,LEFL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.026,0.017,-0.063,-0.026,0.007,-0.025,0,-2.56649103912506,-6.10565263108668,0.702455726684859,0.9473,HAFL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,12200,8936,Hammond's Flycatcher,Moucherolle de Hammond
-0.054,0.052,-0.161,-0.054,0.051,-0.054,0,-5.25678934982017,-14.8707928892849,5.23228932832038,0.8736,HAFL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,12200,8936,Hammond's Flycatcher,Moucherolle de Hammond
-0.027,0.021,-0.07,-0.027,0.017,-0.028,0,-2.66387584756632,-6.76061800940517,1.71453223252407,0.9164,HAFL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,M,12200,8936,Hammond's Flycatcher,Moucherolle de Hammond
