SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,-1.201,0.536,-2.194,-1.223,-0.138,-1.266,0,1996,0.300893168247209,1.70915654450523,-1.40826337625802,2.01004971275244,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-2.155,0.585,-3.265,-2.168,-1.02,-2.194,0,1997,0.115903190612879,1.7949909856399,-1.67908779502702,1.91089417625278,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.057,0.423,-0.71,0.033,0.912,-0.013,0,1998,1.0586558103955,1.52653429596646,-0.467878485570957,2.58519010636196,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.944,0.462,0.106,0.919,1.877,0.869,0,1999,2.57024185118773,1.5872453032256,0.982996547962136,4.15748715441333,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-2.012,0.569,-3.093,-2.025,-0.906,-2.05,0,2000,0.133720965118254,1.76649966822119,-1.63277870310294,1.90022063333944,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-1.03,0.451,-1.861,-1.049,-0.131,-1.088,0,2001,0.357006960569147,1.5698812820932,-1.21287432152406,1.92688824266235,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.609,0.399,0.889,1.586,2.419,1.54,0,2002,4.99781091717777,1.4903336186074,3.50747729857037,6.48814453578518,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.462,0.448,-1.282,-0.484,0.436,-0.527,0,2003,0.630022339941912,1.56517869565352,-0.935156355711609,2.19520103559543,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.175,0.408,-0.917,-0.196,0.647,-0.239,0,2004,0.839457020769207,1.50380716117011,-0.664350140400904,2.34326418193932,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.771,0.441,-1.578,-0.793,0.113,-0.836,0,2005,0.462550286672301,1.55426070234231,-1.09171041567,2.01681098901461,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.049,0.433,-0.737,0.026,0.925,-0.021,0,2006,1.05022035074003,1.54187622070063,-0.491655869960604,2.59209657144066,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-1.59,0.521,-2.578,-1.603,-0.575,-1.628,0,2007,0.203925611734213,1.68371051864282,-1.4797849069086,1.88763613037703,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.673,0.422,0.908,1.65,2.526,1.604,0,2008,5.32812822925049,1.52500852468328,3.80311970456721,6.85313675393377,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.36,0.413,-1.111,-0.381,0.474,-0.424,0,2009,0.697676326071031,1.51134502593399,-0.813668699862963,2.20902135200503,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.309,0.404,-0.421,0.287,1.126,0.241,0,2010,1.36206237050342,1.49780394695814,-0.135741576454717,2.85986631746156,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.904,0.436,-1.705,-0.924,-0.033,-0.963,0,2011,0.404946629326505,1.54650879474938,-1.14156216542287,1.95145542407588,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.34,0.418,-1.101,-0.362,0.502,-0.406,0,2012,0.71177032276261,1.51892067440224,-0.80715035163963,2.23069099716485,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-1.679,0.494,-2.612,-1.693,-0.712,-1.719,0,2013,0.186560443233507,1.63885856079376,-1.45229811756025,1.82541900402727,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.008,0.403,-0.739,-0.03,0.806,-0.074,0,2014,0.992031914837061,1.49630689166358,-0.504274976826522,2.48833880650064,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.267,0.455,-1.106,-0.287,0.641,-0.326,0,2015,0.765673071465374,1.57617338303399,-0.810500311568617,2.34184645449937,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.433,0.448,-1.26,-0.453,0.46,-0.491,0,2016,0.648560491804976,1.56517869565352,-0.916618203848546,2.2137391874585,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.335,0.414,-0.416,0.312,1.173,0.267,0,2017,1.39794038522247,1.51285712688439,-0.114916741661927,2.91079751210686,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-0.092,0.411,-0.84,-0.113,0.738,-0.157,0,2018,0.91210514954509,1.50832535655806,-0.596220207012968,2.42043050610315,1996-2018,all years,Fall,Poisson,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
