mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.015,0.025,-0.034,0.015,0.064,0.014,0,1.51130646157189,-3.34284953624934,6.60923987615052,0.7303,CAGO,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,S,230,168,Canada Goose,Bernache du Canada
-0.07,0.064,-0.204,-0.069,0.051,-0.067,0,-6.76061800940517,-18.4537628812707,5.23228932832038,0.8817,CAGO,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,230,168,Canada Goose,Bernache du Canada
-0.01,0.025,-0.06,-0.01,0.038,-0.011,0,-0.995016625083189,-5.82354664157513,3.87312328784977,0.6638,CAGO,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,230,168,Canada Goose,Bernache du Canada
0.125,0.035,0.056,0.125,0.192,0.124,0,13.3148453066826,5.75976837366112,21.16705169649,0.9999,AMWI,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.03,0.101,-0.225,-0.032,0.169,-0.036,0,-2.95544664514918,-20.1483781240623,18.4120138923969,0.6504,AMWI,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
0.083,0.039,0.005,0.083,0.158,0.082,0,8.65418085482381,0.501252085940096,17.1166194707669,0.9805,AMWI,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
0.037,0.02,-0.004,0.037,0.075,0.036,0,3.76930208381572,-0.399201065600852,7.78841508846315,0.9669,MALL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.062,0.044,-0.146,-0.062,0.023,-0.064,0,-6.01171132089111,-13.5842296815357,2.32665395472176,0.9231,MALL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.028,0.024,-0.018,0.028,0.074,0.027,0,2.8395684421425,-1.78389676416992,7.68068054962199,0.8984,MALL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.153,0.107,-0.028,0.142,0.396,0.128,0,16.5324978942738,-2.76116331987531,48.586931755139,0.9542,NSHO,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,S,540,281,Northern Shoveler,Canard souchet
-0.047,0.207,-0.46,-0.05,0.362,-0.055,0,-4.59126024096289,-36.8716354493074,43.6198941960352,0.6108,NSHO,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,540,281,Northern Shoveler,Canard souchet
0.059,0.08,-0.09,0.055,0.224,0.051,0,6.07752407401589,-8.60688147287718,25.1071019428362,0.791,NSHO,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,540,281,Northern Shoveler,Canard souchet
0.099,0.063,-0.025,0.099,0.221,0.097,0,10.4066299558882,-2.46900879716674,24.7323430564065,0.9451,GWTE,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
-0.06,0.216,-0.478,-0.067,0.375,-0.076,0,-5.82354664157513,-37.9977803018006,45.4991414618201,0.6492,GWTE,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
0.047,0.025,-0.002,0.047,0.093,0.047,0,4.81220090796557,-0.199800133266692,9.7461735268082,0.9697,RNDU,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,660,412,Ring-necked Duck,Fuligule à collier
-0.038,0.051,-0.149,-0.036,0.055,-0.033,0,-3.72870591088005,-13.8430885101042,5.65406146754943,0.797,RNDU,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,660,412,Ring-necked Duck,Fuligule à collier
0.019,0.021,-0.024,0.019,0.059,0.019,0,1.91816486174081,-2.37142902420907,6.07752407401589,0.8163,RNDU,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,660,412,Ring-necked Duck,Fuligule à collier
0.057,0.023,0.011,0.056,0.102,0.055,0,5.86558103955002,1.10607224447195,10.7383471727933,0.99,BUFF,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
0.133,0.041,0.051,0.133,0.213,0.132,0,14.2249998330894,5.23228932832038,23.7384651243601,0.9976,BUFF,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
0.044,0.026,-0.008,0.044,0.095,0.044,0,4.49823548884438,-0.796808516293934,9.96588551261028,0.954,BUFF,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
-0.015,0.019,-0.056,-0.014,0.02,-0.013,0,-1.48880603969374,-5.44608641096037,2.02013400267558,0.8031,COLO,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
