mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.075,0.064,-0.21,-0.074,0.052,-0.072,0,-7.22565136714471,-18.9415754029813,5.33757425133647,0.9016,CAGO,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,230,168,Canada Goose,Bernache du Canada
-0.075,0.064,-0.21,-0.074,0.052,-0.072,0,-7.22565136714471,-18.9415754029813,5.33757425133647,0.9,CAGO,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,230,168,Canada Goose,Bernache du Canada
-0.006,0.02,-0.046,-0.006,0.033,-0.005,0,-0.598203594606472,-4.49580378092853,3.35505392413056,0.6335,MALL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.057,0.048,-0.147,-0.059,0.046,-0.063,0,-5.54059306334767,-13.6706022583681,4.70744109569372,0.8966,MALL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.002,0.022,-0.043,0.002,0.046,0.002,0,0.20020013340003,-4.20886099329694,4.70744109569372,0.5362,MALL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.019,0.028,-0.036,0.018,0.076,0.018,0,1.91816486174081,-3.53597065168769,7.89625741572839,0.7646,BUFF,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
0.131,0.037,0.058,0.13,0.206,0.129,0,13.996778131199,5.97149957102876,22.8753203995312,0.9989,BUFF,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
0.022,0.032,-0.042,0.022,0.086,0.023,0,2.22437844704382,-4.11302194275155,8.98063283051287,0.7892,BUFF,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
-0.059,0.021,-0.103,-0.058,-0.02,-0.057,0,-5.72932308429003,-9.78730265184835,-1.98013266932447,0.9957,COLO,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.128,0.243,-1.186,-0.075,-0.005,-0.072,0,-12.0146620855356,-69.4559413858642,-0.498752080731768,0.9845,COLO,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.041,0.021,-0.083,-0.041,-0.001,-0.04,0,-4.01708700522011,-7.96488527798753,-0.0999500166624978,0.9764,COLO,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,1560,3737,Common Loon,Plongeon huard
-0.043,0.054,-0.138,-0.047,0.082,-0.053,0,-4.20886099329694,-12.8901308254202,8.5455809829549,0.8325,GBHE,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,2550,4186,Great Blue Heron,Grand Héron
-0.002,0.111,-0.228,-0.002,0.227,-0.003,0,-0.199800133266692,-20.3875740164546,25.4829867940279,0.511,GBHE,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,2550,4186,Great Blue Heron,Grand Héron
-0.101,0.035,-0.173,-0.101,-0.032,-0.1,0,-9.60669671141359,-15.8862385155377,-3.14934179208024,0.9959,GBHE,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,2550,4186,Great Blue Heron,Grand Héron
-0.027,0.021,-0.069,-0.027,0.015,-0.027,0,-2.66387584756632,-6.6673319921798,1.51130646157189,0.9111,MERL,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,M,3580,6483,Merlin,Faucon émerillon
0.039,0.05,-0.055,0.037,0.146,0.034,0,3.97704836501578,-5.35148520465162,15.7196188050796,0.7996,MERL,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,M,3580,6483,Merlin,Faucon émerillon
-0.015,0.021,-0.057,-0.015,0.026,-0.014,0,-1.48880603969374,-5.54059306334767,2.6340948473442,0.7718,MERL,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,M,3580,6483,Merlin,Faucon émerillon
-0.01,0.015,-0.039,-0.01,0.021,-0.01,0,-0.995016625083189,-3.82492908536333,2.12220516375285,0.7448,BEKI,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,L,9750,5593,Belted Kingfisher,Martin-pêcheur d'Amérique
-0.016,0.035,-0.084,-0.017,0.058,-0.019,0,-1.58726799447149,-8.05687439048753,5.97149957102876,0.7048,BEKI,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,L,9750,5593,Belted Kingfisher,Martin-pêcheur d'Amérique
0,0.018,-0.047,0.003,0.034,-0.002,94.478,0,-4.59126024096289,3.45846067281179,0.5441,BEKI,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,L,9750,5593,Belted Kingfisher,Martin-pêcheur d'Amérique
0.062,0.048,-0.026,0.058,0.171,0.054,0,6.39623447280337,-2.56649103912506,18.6490749021712,0.9304,DOWO,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,L,10290,6179,Downy Woodpecker,Pic mineur
-0.03,0.065,-0.162,-0.03,0.104,-0.03,0,-2.95544664514918,-14.9558795459767,10.9600454915582,0.7124,DOWO,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,L,10290,6179,Downy Woodpecker,Pic mineur
0.037,0.041,-0.045,0.036,0.124,0.035,0,3.76930208381572,-4.40025181669,13.2015870999175,0.837,DOWO,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,L,10290,6179,Downy Woodpecker,Pic mineur
-0.02,0.018,-0.056,-0.02,0.019,-0.02,0,-1.98013266932447,-5.44608641096037,1.91816486174081,0.8693,NOFL,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,10460,6390,Northern Flicker,Pic flamboyant
0.058,0.028,0.004,0.058,0.114,0.058,0,5.97149957102876,0.400801067734191,12.0752124884153,0.9832,NOFL,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,10460,6390,Northern Flicker,Pic flamboyant
-0.02,0.021,-0.062,-0.02,0.024,-0.021,0,-1.98013266932447,-6.01171132089111,2.42903178906215,0.8464,NOFL,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,10460,6390,Northern Flicker,Pic flamboyant
-0.05,0.033,-0.125,-0.048,0.01,-0.045,0,-4.8770575499286,-11.7503097415405,1.00501670841679,0.9495,TRFL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.077,0.046,-0.014,0.076,0.175,0.074,0,8.00420763926004,-1.39024557371381,19.1246216612358,0.9594,TRFL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.009,0.02,-0.048,-0.009,0.032,-0.009,0,-0.895962122711635,-4.68662129224953,3.25175053051183,0.6915,TRFL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.028,0.018,-0.063,-0.028,0.009,-0.029,0,-2.76116331987531,-6.10565263108668,0.904062177386789,0.9343,LEFL,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.073,0.04,-0.16,-0.072,0.004,-0.071,0,-7.03991699742073,-14.7856211033789,0.400801067734191,0.9692,LEFL,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.036,0.019,-0.075,-0.036,0.001,-0.035,0,-3.53597065168769,-7.22565136714471,0.100050016670838,0.9728,LEFL,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,ML,12190,8935,Least Flycatcher,Moucherolle tchébec
-0.098,0.027,-0.151,-0.098,-0.042,-0.099,0,-9.33510962460791,-14.0152301340794,-4.11302194275155,0.9973,SOVI,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
