SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,1.903,0.283,1.382,1.891,2.493,1.867,0,1996,6.7059822422402,1.32710516181716,5.37887708042304,8.03308740405736,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.988,0.26,0.504,0.979,1.527,0.96,0,1997,2.68585738228699,1.29693008666577,1.38892729562122,3.98278746895276,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2,0.243,1.55,1.99,2.504,1.97,0,1998,7.38905609893065,1.27506862411846,6.11398747481219,8.66412472304911,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.45,0.257,1.973,2.441,2.981,2.422,0,1999,11.5883467192234,1.29304512675935,10.295301592464,12.8813918459827,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.327,0.248,1.867,2.318,2.843,2.298,0,2000,10.2471539129651,1.28145993219402,8.96569398077112,11.5286138451592,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.206,0.266,-0.293,0.198,0.752,0.182,0,2001,1.22875320399531,1.30473505868693,-0.075981854691616,2.53348826268224,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.194,0.244,1.741,2.184,2.701,2.165,0,2002,8.97102554426679,1.27634433048945,7.69468121377733,10.2473698747562,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.012,0.264,0.52,1.003,1.558,0.984,0,2003,2.75109771191161,1.30212819630089,1.44896951561072,4.05322590821251,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.406,0.248,0.946,1.397,1.92,1.378,0,2004,4.07960430645159,1.28145993219402,2.79814437425757,5.36106423864561,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.115,0.258,0.634,1.106,1.647,1.088,0,2005,3.04956817918268,1.29433881862424,1.75522936055845,4.34390699780692,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.279,0.254,0.806,1.27,1.804,1.251,0,2006,3.59304488356428,1.2891718042678,2.30387307929648,4.88221668783209,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.457,0.269,-0.047,0.448,1.01,0.43,0,2007,1.57932888424944,1.30865514104647,0.270673743202974,2.88798402529591,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.325,0.257,1.847,2.315,2.856,2.297,0,2008,10.226680085791,1.29304512675935,8.93363495903165,11.5197252125504,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.145,0.249,0.683,1.136,1.66,1.117,0,2009,3.14244135683917,1.28274203306981,1.85969932376936,4.42518338990898,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.94,0.243,1.489,1.93,2.445,1.911,0,2010,6.95875097063727,1.27506862411846,5.68368234651881,8.23381959475573,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.615,0.256,0.137,0.606,1.142,0.588,0,2011,1.84965659955833,1.2917527279397,0.557903871618623,3.14140932749803,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.511,0.245,1.056,1.501,2.02,1.482,0,2012,4.53125978922861,1.27762131320489,3.25363847602372,5.80888110243349,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.6,0.246,1.143,1.591,2.111,1.572,0,2013,4.95303242439511,1.27889957354174,3.67413285085338,6.23193199793685,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.865,0.243,1.414,1.855,2.37,1.836,0,2014,6.45593588599122,1.27506862411846,5.18086726187276,7.73100451010968,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.583,0.259,0.098,0.574,1.117,0.557,0,2015,1.79140459125847,1.29563380482805,0.495770786430418,3.08703839608651,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.072,0.258,0.591,1.063,1.604,1.045,0,2016,2.92121609362507,1.29433881862424,1.62687727500083,4.21555491224931,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.903,0.25,1.439,1.894,2.422,1.875,0,2017,6.7059822422402,1.28402541668774,5.42195682555246,7.99000765892794,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.727,0.246,1.271,1.718,2.237,1.699,0,2018,5.62375730428171,1.27889957354174,4.34485773073997,6.90265687782345,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
AMWI,0.139,0.439,-0.712,0.134,1.013,0.121,0,1996,1.14912410000361,1.55115528738771,-0.402031187384109,2.70027938739132,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,O,420,Mareca americana,American Wigeon,Canard d'Amérique
AMWI,-1.069,0.455,-1.959,-1.071,-0.174,-1.077,0,1997,0.343351697497566,1.57617338303399,-1.23282168553642,1.91952508053156,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,O,420,Mareca americana,American Wigeon,Canard d'Amérique
AMWI,1.907,0.414,1.094,1.904,2.73,1.894,0,1998,6.73285989066916,1.51285712688439,5.22000276378477,8.24571701755356,1996-2018,all years,Fall,NegBinomial,CMMN,MNO,MNO,O,420,Mareca americana,American Wigeon,Canard d'Amérique
