mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.017,0.017,-0.05,-0.017,0.016,-0.017,0,-1.68563153650904,-4.8770575499286,1.61286854060949,0.8579,CAGO,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.016,0.05,-0.126,-0.014,0.08,-0.011,0,-1.58726799447149,-11.8385153216584,8.32870676749586,0.6318,CAGO,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.019,0.02,-0.058,-0.019,0.021,-0.019,0,-1.8820637757194,-5.63500525632015,2.12220516375285,0.8434,CAGO,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
0.031,0.022,-0.013,0.031,0.076,0.03,0,3.14855038865227,-1.29158649797124,7.89625741572839,0.9212,AMWI,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.021,0.067,-0.154,-0.022,0.117,-0.024,0,-2.07810354305404,-14.2727978988543,12.4119429690537,0.6471,AMWI,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
0.002,0.021,-0.04,0.002,0.044,0.002,0,0.20020013340003,-3.92105608476768,4.49823548884438,0.5544,AMWI,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,420,292,American Wigeon,Canard d'Amérique
0,0.023,-0.047,0,0.045,0,0,0,-4.59126024096289,4.60278599087169,0.5032,MALL,1996-2018,all years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.047,0.055,-0.143,-0.053,0.083,-0.062,0,-4.59126024096289,-13.3245931104511,8.65418085482381,0.8333,MALL,2008-2018,10-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.004,0.031,-0.072,-0.003,0.056,-0.002,0,-0.399201065600852,-6.94691041887943,5.75976837366112,0.5583,MALL,1998-2018,20-years,Fall,CMMN,MNO,MNO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.016,0.05,-0.123,-0.014,0.08,-0.012,0,-1.58726799447149,-11.5736337439179,8.32870676749586,0.6282,BWTE,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
-0.058,0.094,-0.239,-0.061,0.145,-0.065,0,-5.63500525632015,-21.2585117627312,15.6039570268022,0.7628,BWTE,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
0.029,0.046,-0.068,0.031,0.118,0.032,0,2.94245944751308,-6.57395264227865,12.5244111367342,0.7709,BWTE,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
0.025,0.079,-0.113,0.018,0.21,0.009,0,2.53151205244289,-10.6849339883984,23.3678059956743,0.6096,NSHO,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,S,540,281,Northern Shoveler,Canard souchet
-0.05,0.198,-0.451,-0.051,0.361,-0.053,0,-4.8770575499286,-36.3009157822017,43.4763460878556,0.6306,NSHO,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,540,281,Northern Shoveler,Canard souchet
-0.071,0.049,-0.169,-0.071,0.031,-0.072,0,-6.85381078724079,-15.5491096613966,3.14855038865227,0.9292,NSHO,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,S,540,281,Northern Shoveler,Canard souchet
-0.014,0.046,-0.108,-0.013,0.079,-0.013,0,-1.39024557371381,-10.2372403569565,8.22043220703148,0.6209,GWTE,1996-2018,all years,Fall,CMMN,MNO,MNO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
-0.042,0.177,-0.377,-0.05,0.346,-0.06,0,-4.11302194275155,-31.408392610398,41.3402615817677,0.6338,GWTE,2008-2018,10-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
0.013,0.052,-0.094,0.013,0.115,0.015,0,1.30848673598092,-8.9717237759233,12.1873437571938,0.6092,GWTE,1998-2018,20-years,Fall,CMMN,MNO,MNO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
