SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSHA,-0.766,0.226,-1.221,-0.762,-0.335,-0.754,0,2001,0.464868829632768,1.25357566527819,-0.788706835645419,1.71844449491096,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.772,0.246,-1.269,-0.766,-0.305,-0.756,0,2002,0.4620879675837,1.27889957354174,-0.816811605958038,1.74098754112544,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.955,0.265,-1.495,-0.948,-0.456,-0.935,0,2003,0.384812144552979,1.30343097577837,-0.91861883122539,1.68824312033135,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.9,0.246,-1.397,-0.894,-0.432,-0.884,0,2004,0.406569659740599,1.27889957354174,-0.872329913801139,1.68546923328234,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.176,0.185,-0.542,-0.174,0.18,-0.17,0,2005,0.838617983337074,1.2032184401277,-0.364600456790621,2.04183642346477,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.151,0.197,-0.542,-0.149,0.229,-0.146,0,2006,0.859847698659206,1.21774404070591,-0.357896342046703,2.07759173936511,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.564,0.203,-0.972,-0.561,-0.176,-0.554,0,2007,0.568928791179122,1.2250724682475,-0.656143677068377,1.79400125942662,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.409,0.198,-0.803,-0.406,-0.03,-0.401,0,2008,0.664314232322217,1.21896239382164,-0.554648161499426,1.88327662614386,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.25,0.189,-0.626,-0.248,0.114,-0.244,0,2009,0.778800783071405,1.2080409524829,-0.429240169411497,1.98684173555431,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,0.026,0.172,-0.312,0.027,0.358,0.029,0,2010,1.02634094847344,1.18767783321391,-0.161336884740464,2.21401878168735,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.096,0.177,-0.445,-0.095,0.245,-0.093,0,2011,0.908464016068706,1.19363109312714,-0.285167077058433,2.10209510919585,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
SSHA,-0.292,0.188,-0.665,-0.29,0.069,-0.286,0,2012,0.746768535973357,1.20683351534961,-0.460064979376248,1.95360205132296,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,M,3100,Accipiter striatus,Sharp-shinned Hawk,Épervier brun
