SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,2.815,0.265,2.327,2.803,3.345,2.779,0,2001,16.6931757803313,1.30343097577837,15.3897448045529,17.9966067561097,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.033,0.267,2.542,3.021,3.567,2.996,0,2002,20.7594175179118,1.30604044633065,19.4533770715811,22.0654579642424,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.557,0.278,2.043,2.546,3.11,2.523,0,2003,12.8970680166068,1.3204861972091,11.5765818193977,14.2175542138159,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.193,0.273,1.69,2.18,2.74,2.155,0,2004,8.9620590027405,1.31390024482474,7.64815875791576,10.2759592475652,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.892,0.27,2.397,2.88,3.432,2.855,0,2005,18.0293322313757,1.30996445073325,16.7193677806425,19.3392966821089,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.281,0.293,1.743,2.268,2.867,2.241,0,2006,9.78646197990849,1.34044279043168,8.44601918947681,11.1269047703402,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.344,0.269,1.848,2.332,2.881,2.307,0,2007,10.4228446697193,1.30865514104647,9.11418952867282,11.7314998107658,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.389,0.271,1.892,2.377,2.93,2.352,0,2008,10.9025859040274,1.31127507038459,9.59131083364285,12.213860974412,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.329,0.273,1.827,2.317,2.875,2.291,0,2009,10.2676687287686,1.31390024482474,8.95376848394387,11.5815689735933,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.254,0.283,1.734,2.242,2.818,2.217,0,2010,9.52576278289445,1.32710516181716,8.19865762107729,10.8528679447116,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.022,0.286,0.495,1.01,1.591,0.986,0,2011,2.7787467035812,1.33109245525229,1.44765424832891,4.10983915883349,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.059,0.284,0.534,1.046,1.624,1.022,0,2012,2.88348606098324,1.32843293075279,1.55505313023045,4.21191899173604,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.477,0.286,0.949,1.465,2.049,1.44,0,2013,4.37978659237813,1.33109245525229,3.04869413712583,5.71087904763042,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.596,0.284,1.074,1.583,2.162,1.558,0,2014,4.93325986617737,1.32843293075279,3.60482693542458,6.26169279693017,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.544,0.287,1.016,1.531,2.117,1.505,0,2015,4.68328599859967,1.33242421347568,3.350861785124,6.01571021207535,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.838,0.287,0.307,0.826,1.408,0.802,0,2016,2.31173887247454,1.33242421347568,0.979314658998862,3.64416308595021,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.477,0.283,0.956,1.465,2.042,1.439,0,2017,4.37978659237813,1.32710516181716,3.05268143056097,5.70689175419528,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.775,0.293,0.232,0.763,1.357,0.739,0,2018,2.17059212718344,1.34044279043168,0.830149336751761,3.51103491761512,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.678,0.28,0.144,0.673,1.219,0.662,0,1995,1.96993392189093,1.32312981233744,0.646804109553493,3.29306373422837,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.242,0.229,1.807,2.237,2.689,2.226,0,1996,9.41213674921095,1.25734203900984,8.15479471020111,10.6694787882208,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.93,0.239,1.477,1.924,2.396,1.912,0,1997,6.88951024158129,1.26997853658384,5.61953170499746,8.15948877816513,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.763,0.218,2.352,2.757,3.188,2.745,0,1998,15.8473136475511,1.24358706761906,14.603726579932,17.0909007151702,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.117,0.218,2.704,3.112,3.543,3.101,0,1999,22.5785423111219,1.24358706761906,21.3349552435029,23.822129378741,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.926,0.22,1.509,1.92,2.354,1.909,0,2000,6.86200724328222,1.24607673058738,5.61593051269484,8.1080839738696,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.916,0.23,2.479,2.911,3.363,2.9,0,2001,18.4672704426314,1.25860000992948,17.208670432702,19.7258704525609,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.686,0.217,2.276,2.68,3.109,2.669,0,2002,14.6728669131873,1.24234410213776,13.4305228110495,15.9152110153251,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.63,0.256,3.14,3.625,4.124,3.617,0,2003,37.7128166171817,1.2917527279397,36.421063889242,39.0045693451214,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.538,0.229,2.106,2.532,2.986,2.52,0,2004,12.6543369713364,1.25734203900984,11.3969949323265,13.9116790103462,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.499,0.222,2.08,2.494,2.932,2.482,0,2005,12.1703175559598,1.24857137786428,10.9217461780956,13.4188889338241,1995-2018,all years,Spring,NegBinomial,CMMN,PEPBO,PEPBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
