mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.113,0.013,-0.138,-0.113,-0.089,-0.113,0,-10.6849339883984,-12.8901308254202,-8.5154426425548,1,CAGO,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.128,0.027,-0.182,-0.128,-0.077,-0.128,0,-12.0146620855356,-16.6398659584265,-7.41101463935047,1,CAGO,2008-2018,10-years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.027,0.029,-0.077,-0.03,0.036,-0.033,0,-2.66387584756632,-7.41101463935047,3.66558464909237,0.8537,CAGO,1995-2018,all years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.016,0.028,-0.07,-0.017,0.038,-0.018,0,-1.58726799447149,-6.76061800940517,3.87312328784977,0.7428,CAGO,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.073,0.015,-0.102,-0.073,-0.044,-0.074,0,-7.03991699742073,-9.69704483311232,-4.30460425269533,0.9999,CAGO,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.033,0.016,-0.066,-0.033,-0.003,-0.033,0,-3.2461440410968,-6.38691357083812,-0.2995504496627,0.9795,WODU,1995-2018,all years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.069,0.032,-0.132,-0.068,-0.009,-0.068,0,-6.6673319921798,-12.3659004920627,-0.895962122711635,0.9836,WODU,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.027,0.019,-0.067,-0.026,0.009,-0.025,0,-2.66387584756632,-6.48047986632234,0.904062177386789,0.9351,WODU,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.384,0.141,-0.737,-0.362,-0.178,-0.332,0,-31.8868572820453,-52.1452593571159,-16.3057576511232,0.9981,ABDU,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,Poisson,NA,O,440,330,American Black Duck,Canard noir
