mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.119,0.013,-0.144,-0.119,-0.094,-0.119,0,-11.219219923805,-13.4112251940795,-8.9717237759233,1,CAGO,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.13,0.027,-0.184,-0.129,-0.076,-0.129,0,-12.1904569079439,-16.8064196173328,-7.31837934406178,1,CAGO,2008-2018,10-years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.023,0.031,-0.077,-0.026,0.05,-0.03,0,-2.27375162267229,-7.41101463935047,5.12710963760241,0.8151,CAGO,1995-2018,all years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.012,0.018,-0.048,-0.012,0.024,-0.012,0,-1.19282871380695,-4.68662129224953,2.42903178906215,0.7451,CAGO,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.071,0.017,-0.104,-0.071,-0.036,-0.072,0,-6.85381078724079,-9.87747025787952,-3.53597065168769,0.9991,CAGO,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.036,0.016,-0.069,-0.036,-0.004,-0.036,0,-3.53597065168769,-6.6673319921798,-0.399201065600852,0.9844,WODU,1995-2018,all years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.077,0.032,-0.141,-0.077,-0.015,-0.077,0,-7.41101463935047,-13.1510688302332,-1.48880603969374,0.9926,WODU,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.03,0.02,-0.071,-0.029,0.008,-0.028,0,-2.95544664514918,-6.85381078724079,0.803208550427348,0.945,WODU,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.39,0.137,-0.731,-0.369,-0.179,-0.339,0,-32.2943125501835,-51.8572678025691,-16.3894100602964,0.9986,ABDU,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,Poisson,NA,O,440,330,American Black Duck,Canard noir
-0.781,0.287,-1.581,-0.717,-0.425,-0.638,0,-54.2052165579458,-79.4230773940093,-34.6230214870153,0.9997,ABDU,2008-2018,10-years,Fall,CMMN,PEPBO,PEPBO,Poisson,NA,O,440,330,American Black Duck,Canard noir
-0.271,0.052,-0.363,-0.275,-0.149,-0.282,0,-23.7383503594935,-30.4413566500905,-13.8430885101042,0.9997,MALL,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.278,0.099,-0.467,-0.282,-0.063,-0.288,0,-24.2703178485664,-37.3119909587623,-6.10565263108668,0.9897,MALL,2008-2018,10-years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.072,0.017,-0.104,-0.072,-0.037,-0.072,0,-6.94691041887943,-9.87747025787952,-3.63238646509465,0.9994,MALL,1995-2018,all years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.033,0.055,-0.144,-0.033,0.079,-0.033,0,-3.2461440410968,-13.4112251940795,8.22043220703148,0.7668,MALL,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.082,0.019,-0.119,-0.082,-0.041,-0.083,0,-7.87280413036513,-11.219219923805,-4.01708700522011,0.9986,MALL,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
