SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,3.859,0.288,3.308,3.853,4.444,3.839,0,2001,47.4179097422514,1.33375730412338,46.0841524381281,48.7516670463748,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.755,0.293,3.201,3.748,4.354,3.731,0,2002,42.7342198105524,1.34044279043168,41.3937770201207,44.0746626009841,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.828,0.29,2.281,2.819,3.425,2.802,0,2003,16.9116037712309,1.33642748802547,15.5751762832055,18.2480312592564,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.712,0.287,2.175,2.702,3.304,2.683,0,2004,15.0593641445052,1.33242421347568,13.7269399310296,16.3917883579809,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.106,0.286,2.567,3.098,3.691,3.081,0,2005,22.3315393525797,1.33109245525229,21.0004468973274,23.662631807832,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.641,0.288,2.097,2.633,3.231,2.616,0,2006,14.0272238202793,1.33375730412338,12.6934665161559,15.3609811244027,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.029,0.286,2.488,3.021,3.615,3.004,0,2007,20.6765457019677,1.33109245525229,19.3454532467154,22.00763815722,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.916,0.294,3.354,3.911,4.511,3.898,0,2008,50.1992456654439,1.34178390366697,48.8574617617769,51.5410295691108,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.868,0.284,2.332,2.86,3.449,2.844,0,2009,17.6017794139698,1.32843293075279,16.273346483217,18.9302123447226,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.329,0.291,2.778,3.321,3.926,3.304,0,2010,27.9104173260489,1.33776458395004,26.5726527420989,29.2481819099989,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.402,0.289,1.858,2.393,2.996,2.375,0,2011,11.0452447944606,1.33509172852851,9.71015306593206,12.3803365229891,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.066,0.289,1.513,2.06,2.653,2.047,0,2012,7.89318713951605,1.33509172852851,6.55809541098754,9.22827886804456,2001-2018,all years,Fall,NegBinomial,CMMN,PEPBO,PEPBO,S,230,Branta canadensis,Canada Goose,Bernache du Canada
