mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.079,0.027,-0.138,-0.078,-0.027,-0.077,0,-7.59600755549132,-12.8901308254202,-2.66387584756632,0.9961,CAGO,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
-0.129,0.031,-0.188,-0.129,-0.071,-0.128,0.003,-12.1026034454417,-17.1385292767319,-6.85381078724079,0.9989,CAGO,2008-2018,10-years,Fall,CMMN,PEPBO,PEPBO,NegBinomial,NA,S,230,168,Canada Goose,Bernache du Canada
0.021,0.019,-0.017,0.021,0.059,0.021,0,2.12220516375285,-1.68563153650904,6.07752407401589,0.8588,CAGO,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.051,0.013,-0.076,-0.051,-0.025,-0.051,0,-4.9721329467573,-7.31837934406178,-2.46900879716674,0.9996,CAGO,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.029,0.019,-0.069,-0.028,0.008,-0.028,0,-2.85835355333952,-6.6673319921798,0.803208550427348,0.9445,WODU,1995-2018,all years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
0.025,0.092,-0.178,0.03,0.2,0.036,0,2.53151205244289,-16.3057576511232,22.140275816017,0.6435,WODU,2008-2018,10-years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.011,0.027,-0.067,-0.011,0.044,-0.011,0,-1.09397212246313,-6.48047986632234,4.49823548884438,0.6946,WODU,1998-2018,20-years,Spring,CMMN,PEPBO,PEPBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
-0.175,0.043,-0.265,-0.173,-0.093,-0.17,0,-16.0542979230793,-23.2794050024144,-8.88064997038595,0.9999,ABDU,2001-2018,all years,Fall,CMMN,PEPBO,PEPBO,Poisson,NA,O,440,330,American Black Duck,Canard noir
-0.326,0.056,-0.44,-0.325,-0.216,-0.324,0,-27.8194812568284,-35.5963578916859,-19.426469812652,1,ABDU,2008-2018,10-years,Fall,CMMN,PEPBO,PEPBO,Poisson,NA,O,440,330,American Black Duck,Canard noir
