mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.002,0.016,-0.034,-0.002,0.029,-0.002,0,-0.199800133266692,-3.34284953624934,2.94245944751308,0.5428,YBFL,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,12130,8926,Yellow-bellied Flycatcher,Moucherolle à ventre jaune
0.039,0.026,-0.011,0.039,0.089,0.039,0,3.97704836501578,-1.09397212246313,9.30806563263302,0.9375,YBFL,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,12130,8926,Yellow-bellied Flycatcher,Moucherolle à ventre jaune
-0.13,0.091,-0.314,-0.13,0.058,-0.129,0,-12.1904569079439,-26.9480971840575,5.97149957102876,0.9352,TRFL,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.008,0.192,-0.358,-0.023,0.436,-0.041,0,-0.796808516293934,-30.0926924993474,54.6508794749377,0.5554,TRFL,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.009,0.017,-0.041,-0.009,0.024,-0.009,0,-0.895962122711635,-4.01708700522011,2.42903178906215,0.7017,TRFL,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.021,0.025,-0.028,0.021,0.069,0.021,0,2.12220516375285,-2.76116331987531,7.14362091483463,0.8085,TRFL,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
-0.008,0.039,-0.089,-0.008,0.073,-0.008,0,-0.796808516293934,-8.5154426425548,7.57305369147034,0.5974,SOVI,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,M,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
0.061,0.029,0.004,0.061,0.118,0.062,0,6.28989141871952,0.400801067734191,12.5244111367342,0.982,SOVI,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,M,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
-0.016,0.016,-0.047,-0.016,0.015,-0.017,0,-1.58726799447149,-4.59126024096289,1.51130646157189,0.8606,REVI,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,41384,9930,Red-eyed Vireo,Viréo aux yeux rouges
0.004,0.024,-0.045,0.004,0.051,0.004,0,0.400801067734191,-4.40025181669,5.23228932832038,0.5531,REVI,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,41384,9930,Red-eyed Vireo,Viréo aux yeux rouges
0.123,0.024,0.077,0.123,0.17,0.123,0,13.0884420947489,8.00420763926004,18.5304851320365,1,BRCR,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14450,13267,Brown Creeper,Grimpereau brun
0.134,0.041,0.053,0.133,0.215,0.133,0,14.3392819644647,5.4429645119356,23.9861896966062,0.9994,BRCR,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14450,13267,Brown Creeper,Grimpereau brun
0.068,0.042,-0.006,0.064,0.165,0.059,0,7.03653084787743,-0.598203594606472,17.9393118711391,0.9668,WIWR,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14830,13380,Pacific/Winter Wren,Troglodyte de Baird ou T. des forêts
0.076,0.078,-0.085,0.076,0.234,0.076,0,7.89625741572839,-8.14877155985426,26.3644492207778,0.87,WIWR,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14830,13380,Pacific/Winter Wren,Troglodyte de Baird ou T. des forêts
0.066,0.06,-0.065,0.068,0.18,0.07,0,6.82267171659934,-6.29325366225966,19.721736312181,0.8898,GCKI,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
0.062,0.105,-0.163,0.064,0.269,0.067,0,6.39623447280337,-15.040881158541,30.8655141046467,0.7573,GCKI,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14960,13201,Golden-crowned Kinglet,Roitelet à couronne dorée
0.003,0.035,-0.064,0.001,0.077,-0.001,0,0.300450450337708,-6.19950004692705,8.00420763926004,0.5108,RCKI,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
0.03,0.033,-0.036,0.03,0.095,0.031,0,3.04545339535169,-3.53597065168769,9.96588551261028,0.8209,RCKI,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,14970,13202,Ruby-crowned Kinglet,Roitelet à couronne rubis
0.023,0.025,-0.024,0.022,0.074,0.021,0,2.32665395472176,-2.37142902420907,7.68068054962199,0.8369,VEER,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15550,13856,Veery,Grive fauve
0.082,0.045,-0.005,0.081,0.178,0.079,0,8.5455809829549,-0.498752080731768,19.4825321234801,0.9704,VEER,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15550,13856,Veery,Grive fauve
0.075,0.014,0.048,0.075,0.102,0.075,0,7.78841508846315,4.91706553244706,10.7383471727933,1,GCTH,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15560,13857,Gray-cheeked Thrush,Grive à joues grises
0.055,0.025,0.006,0.055,0.104,0.054,0,5.65406146754943,0.601803605406492,10.9600454915582,0.9855,GCTH,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15560,13857,Gray-cheeked Thrush,Grive à joues grises
0.06,0.021,0.017,0.06,0.102,0.061,0,6.18365465453596,1.71453223252407,10.7383471727933,0.994,SWTH,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15580,13861,Swainson's Thrush,Grive à dos olive
0.101,0.042,0.017,0.101,0.189,0.1,0,10.6276641763424,1.71453223252407,20.8040952482902,0.9878,SWTH,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15580,13861,Swainson's Thrush,Grive à dos olive
0.104,0.058,0.02,0.094,0.255,0.082,0,10.9600454915582,2.02013400267558,29.046162087289,0.9891,SWTH,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,M,15580,13861,Swainson's Thrush,Grive à dos olive
0.032,0.027,-0.021,0.032,0.085,0.032,0,3.25175053051183,-2.07810354305404,8.87170666983987,0.8832,SWTH,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,M,15580,13861,Swainson's Thrush,Grive à dos olive
0.055,0.032,-0.011,0.055,0.118,0.055,0,5.65406146754943,-1.09397212246313,12.5244111367342,0.9558,HETH,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15590,13865,Hermit Thrush,Grive solitaire
0.044,0.074,-0.107,0.044,0.194,0.044,0,4.49823548884438,-10.1474327009694,21.4096282956233,0.7492,HETH,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,15590,13865,Hermit Thrush,Grive solitaire
-0.025,0.049,-0.13,-0.023,0.064,-0.018,0,-2.46900879716674,-12.1904569079439,6.60923987615052,0.6959,TEWA,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,M,16460,16573,Tennessee Warbler,Paruline obscure
0.043,0.03,-0.016,0.043,0.102,0.043,0,4.39378948506126,-1.58726799447149,10.7383471727933,0.9215,TEWA,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,M,16460,16573,Tennessee Warbler,Paruline obscure
-0.002,0.02,-0.041,-0.002,0.037,-0.002,0,-0.199800133266692,-4.01708700522011,3.76930208381572,0.5343,NAWA,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,16480,16582,Nashville Warbler,Paruline à joues grises
-0.003,0.036,-0.075,-0.003,0.068,-0.003,0,-0.2995504496627,-7.22565136714471,7.03653084787743,0.5328,NAWA,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,16480,16582,Nashville Warbler,Paruline à joues grises
-0.098,0.046,-0.193,-0.097,-0.01,-0.094,0,-9.33510962460791,-17.5518025860892,-0.995016625083189,0.9843,NAWA,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,M,16480,16582,Nashville Warbler,Paruline à joues grises
-0.167,0.116,-0.422,-0.16,0.044,-0.148,0,-15.3800388662812,-34.4265960606558,4.49823548884438,0.9452,NAWA,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,M,16480,16582,Nashville Warbler,Paruline à joues grises
-0.034,0.032,-0.102,-0.034,0.029,-0.033,0,-3.34284953624934,-9.69704483311232,2.94245944751308,0.8856,YWAR,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,ML,16560,16660,Yellow Warbler,Paruline jaune
0.021,0.023,-0.025,0.021,0.066,0.021,0,2.12220516375285,-2.46900879716674,6.82267171659934,0.8184,YWAR,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,ML,16560,16660,Yellow Warbler,Paruline jaune
