mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.028,0.041,-0.049,0.026,0.119,0.023,0,2.8395684421425,-4.78188703014951,12.6369918288353,0.771,CAGO,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.052,0.061,-0.169,-0.054,0.079,-0.056,0,-5.06711331571105,-15.5491096613966,8.22043220703148,0.8304,CAGO,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.016,0.024,-0.035,0.018,0.061,0.019,0,1.61286854060949,-3.43945837424335,6.28989141871952,0.7789,CAGO,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.061,0.032,-0.004,0.061,0.124,0.062,0,6.28989141871952,-0.399201065600852,13.2015870999175,0.9674,CAGO,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.257,0.122,0.03,0.251,0.528,0.242,0,29.3045126759354,3.04545339535169,69.553783960182,0.9848,WODU,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
0.213,0.256,-0.327,0.219,0.716,0.227,0,23.7384651243601,-27.8916256973393,104.623189137494,0.8247,WODU,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.026,0.037,-0.091,-0.03,0.06,-0.034,0,-2.56649103912506,-8.69822891007342,6.18365465453596,0.8053,WODU,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
0.011,0.029,-0.043,0.01,0.075,0.009,0,1.10607224447195,-4.20886099329694,7.78841508846315,0.6651,WODU,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
0.002,0.071,-0.137,0,0.155,-0.002,0,0.20020013340003,-12.8029773867891,16.7657961105125,0.4915,MALL,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.001,0.128,-0.277,0.003,0.245,0.009,0,-0.0999500166624978,-24.1945502889492,27.7621313204887,0.4991,MALL,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.083,0.038,-0.155,-0.085,-0.002,-0.086,0,-7.96488527798753,-14.3584822516386,-0.199800133266692,0.9765,MALL,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.001,0.028,-0.057,0.001,0.055,0.001,0,0.100050016670838,-5.54059306334767,5.65406146754943,0.5138,MALL,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.135,0.03,-0.195,-0.135,-0.075,-0.135,0,-12.6284088311966,-17.7165341943982,-7.22565136714471,0.9998,BWTE,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
-0.101,0.054,-0.207,-0.102,0.011,-0.103,0,-9.60669671141359,-18.6980350012429,1.10607224447195,0.965,BWTE,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
-0.343,0.091,-0.543,-0.337,-0.177,-0.327,0,-29.0361788439791,-41.8997372636398,-16.2220215477006,0.9999,LESC,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,690,432,Lesser Scaup,Petit Fuligule
-0.575,0.187,-1.007,-0.556,-0.253,-0.529,0,-43.7295131193044,-63.4686722864139,-22.3532118176262,0.9989,LESC,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,690,432,Lesser Scaup,Petit Fuligule
-0.109,0.073,-0.274,-0.105,0.026,-0.099,0,-10.3269582501765,-23.9667924739118,2.6340948473442,0.9527,BUFF,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
-0.236,0.053,-0.35,-0.234,-0.132,-0.231,0,-21.0219326067197,-29.5311910281287,-12.3659004920627,0.9997,BUFF,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
0.058,0.039,-0.019,0.058,0.138,0.058,0,5.97149957102876,-1.8820637757194,14.7975550274179,0.9393,BUFF,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
-0.084,0.089,-0.258,-0.085,0.101,-0.088,0,-8.05687439048753,-22.7404767893072,10.6276641763424,0.8454,BUFF,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
-0.025,0.075,-0.175,-0.025,0.126,-0.025,0,-2.46900879716674,-16.0542979230793,13.4282168283025,0.651,COGO,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
0.087,0.139,-0.198,0.088,0.364,0.091,0,9.08966797182778,-17.9630146862169,43.9074214158046,0.7503,COGO,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
-0.142,0.038,-0.219,-0.143,-0.064,-0.143,0,-13.2378743514086,-19.6678281846373,-6.19950004692705,0.999,RBME,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.145,0.071,-0.29,-0.144,-0.003,-0.143,0,-13.4977706889259,-25.1736432421435,-0.2995504496627,0.9775,RBME,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.015,0.037,-0.092,-0.015,0.058,-0.014,0,-1.48880603969374,-8.78948504549096,5.97149957102876,0.6661,RBME,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.021,0.056,-0.131,-0.022,0.09,-0.022,0,-2.07810354305404,-12.2782225608956,9.41742837052104,0.6648,RBME,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
0.252,0.053,0.15,0.25,0.362,0.248,0,28.6596037284841,16.1834242728283,43.6198941960352,1,WITU,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,1290,951,Wild Turkey,Dindon sauvage
0.32,0.124,0.089,0.313,0.596,0.304,0,37.7127764335957,9.30806563263302,81.4844882722837,0.992,WITU,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,1290,951,Wild Turkey,Dindon sauvage
0.08,0.087,-0.082,0.075,0.274,0.067,0,8.32870676749586,-7.87280413036513,31.5214802238724,0.8507,WITU,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,1290,951,Wild Turkey,Dindon sauvage
-0.071,0.061,-0.213,-0.065,0.037,-0.058,0,-6.85381078724079,-19.1843862783512,3.76930208381572,0.9142,WITU,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,1290,951,Wild Turkey,Dindon sauvage
-0.049,0.034,-0.121,-0.048,0.017,-0.046,0,-4.78188703014951,-11.3966040407124,1.71453223252407,0.9327,COLO,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
-0.09,0.067,-0.225,-0.09,0.048,-0.09,0,-8.60688147287718,-20.1483781240623,4.91706553244706,0.9202,COLO,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
-0.068,0.044,-0.161,-0.067,0.018,-0.066,0,-6.57395264227865,-14.8707928892849,1.81629763897937,0.9464,COLO,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
-0.071,0.09,-0.243,-0.074,0.127,-0.079,0,-6.85381078724079,-21.5728486228444,13.5417017781486,0.8153,COLO,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,1560,3737,Common Loon,Plongeon huard
0.05,0.03,-0.011,0.05,0.109,0.05,0,5.12710963760241,-1.09397212246313,11.5162350341448,0.951,HOGR,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,1620,979,Horned Grebe,Grèbe esclavon
0.003,0.048,-0.096,0.004,0.099,0.005,0,0.300450450337708,-9.15359839312938,10.4066299558882,0.5494,HOGR,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,1620,979,Horned Grebe,Grèbe esclavon
0.139,0.107,-0.094,0.143,0.349,0.147,0,14.9124100003605,-8.9717237759233,41.7649190341986,0.9156,HOGR,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,1620,979,Horned Grebe,Grèbe esclavon
0.363,0.12,0.128,0.36,0.616,0.356,0,43.763585924121,13.655300269706,85.1507181294538,0.9954,HOGR,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,1620,979,Horned Grebe,Grèbe esclavon
-0.098,0.055,-0.2,-0.101,0.023,-0.105,0,-9.33510962460791,-18.1269246922018,2.32665395472176,0.9535,DCCO,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,S,2390,4117,Double-crested Cormorant,Cormoran à aigrettes
-0.209,0.064,-0.322,-0.215,-0.062,-0.225,0,-18.8604764356589,-27.5301809670097,-6.01171132089111,0.9929,DCCO,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,S,2390,4117,Double-crested Cormorant,Cormoran à aigrettes
0.069,0.04,-0.006,0.067,0.156,0.065,0,7.14362091483463,-0.598203594606472,16.8826203089869,0.9663,GBHE,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,L,2550,4186,Great Blue Heron,Grand Héron
0.098,0.054,-0.019,0.1,0.2,0.103,0,10.2962785108508,-1.8820637757194,22.140275816017,0.957,GBHE,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,L,2550,4186,Great Blue Heron,Grand Héron
-0.08,0.014,-0.106,-0.08,-0.052,-0.08,0,-7.68836536133642,-10.0575351924076,-5.06711331571105,1,GBHE,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,L,2550,4186,Great Blue Heron,Grand Héron
-0.051,0.023,-0.098,-0.051,-0.003,-0.051,0,-4.9721329467573,-9.33510962460791,-0.2995504496627,0.9784,GBHE,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,L,2550,4186,Great Blue Heron,Grand Héron
-0.087,0.042,-0.171,-0.088,0.003,-0.089,0,-8.33229043668478,-15.717842652838,0.300450450337708,0.9773,GREG,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,L,2580,4207,Great Egret,Grande Aigrette
0.018,0.033,-0.046,0.018,0.082,0.018,0,1.81629763897937,-4.49580378092853,8.5455809829549,0.7089,GREG,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,L,2580,4207,Great Egret,Grande Aigrette
0.163,0.033,0.093,0.164,0.226,0.165,0,17.7036689688467,9.7461735268082,25.3575665278187,1,TUVU,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,2850,4349,Turkey Vulture,Urubu à tête rouge
0.098,0.088,-0.112,0.108,0.245,0.124,0,10.2962785108508,-10.5955742499643,27.7621313204887,0.869,TUVU,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,2850,4349,Turkey Vulture,Urubu à tête rouge
0.028,0.029,-0.029,0.028,0.087,0.028,0,2.8395684421425,-2.85835355333952,9.08966797182778,0.8508,TUVU,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,2850,4349,Turkey Vulture,Urubu à tête rouge
0.106,0.035,0.035,0.107,0.175,0.107,0,11.1821876506531,3.56197087996233,19.1246216612358,0.9953,TUVU,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,2850,4349,Turkey Vulture,Urubu à tête rouge
0.162,0.031,0.095,0.163,0.221,0.164,0,17.5860241321,9.96588551261028,24.7323430564065,0.9999,BAEA,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
0.191,0.058,0.076,0.19,0.313,0.188,0,21.0459452081299,7.89625741572839,36.7521531027605,0.9972,BAEA,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
0.133,0.033,0.068,0.133,0.197,0.133,0,14.2249998330894,7.03653084787743,21.7744040705908,0.9997,BAEA,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
0.182,0.051,0.074,0.184,0.277,0.185,0,19.9614193879868,7.68068054962199,31.9166371034959,0.9958,BAEA,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,L,3020,4641,Bald Eagle,Pygargue à tête blanche
-0.045,0.029,-0.101,-0.046,0.019,-0.047,0,-4.40025181669,-9.60669671141359,1.91816486174081,0.9329,NOHA,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,3061,4537,Northern Harrier,Busard des marais
0.034,0.037,-0.038,0.033,0.109,0.033,0,3.45846067281179,-3.72870591088005,11.5162350341448,0.8315,NOHA,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,3061,4537,Northern Harrier,Busard des marais
0.008,0.024,-0.041,0.008,0.058,0.008,0,0.803208550427348,-4.01708700522011,5.97149957102876,0.6534,SSHA,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,3100,4603,Sharp-shinned Hawk,Épervier brun
0.086,0.016,0.054,0.086,0.119,0.086,0,8.98063283051287,5.54846021550801,12.6369918288353,1,SSHA,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,M,3100,4603,Sharp-shinned Hawk,Épervier brun
-0.006,0.027,-0.055,-0.008,0.057,-0.011,0,-0.598203594606472,-5.35148520465162,5.86558103955002,0.634,MERL,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,3580,6483,Merlin,Faucon émerillon
0.045,0.051,-0.043,0.04,0.166,0.033,0,4.60278599087169,-4.20886099329694,18.0573101723276,0.8483,MERL,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,3580,6483,Merlin,Faucon émerillon
-0.056,0.032,-0.127,-0.053,0.003,-0.05,0,-5.44608641096037,-11.9266327402843,0.300450450337708,0.9693,KILL,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,4210,3180,Killdeer,Pluvier kildir
-0.076,0.078,-0.259,-0.067,0.056,-0.05,0,-7.31837934406178,-22.8176976956297,5.75976837366112,0.8613,KILL,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,4210,3180,Killdeer,Pluvier kildir
-0.088,0.018,-0.122,-0.088,-0.054,-0.088,0,-8.42391232766744,-11.4851631497373,-5.25678934982017,1,KILL,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,L,4210,3180,Killdeer,Pluvier kildir
-0.161,0.032,-0.224,-0.161,-0.1,-0.16,0,-14.8707928892849,-20.0684865630635,-9.51625819640405,1,KILL,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,L,4210,3180,Killdeer,Pluvier kildir
-0.019,0.007,-0.032,-0.019,-0.006,-0.019,0,-1.8820637757194,-3.14934179208024,-0.598203594606472,0.9983,SPSA,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
-0.022,0.011,-0.044,-0.022,0,-0.022,0,-2.175976494879,-4.30460425269533,0,0.9761,SPSA,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.015,0.025,-0.033,0.015,0.065,0.014,0,1.51130646157189,-3.2461440410968,6.71590243841926,0.7346,SPSA,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,S,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.02,0.037,-0.058,0.021,0.091,0.023,0,2.02013400267558,-5.63500525632015,9.52690052584655,0.7383,SPSA,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,S,4350,3356,Spotted Sandpiper,Chevalier grivelé
0.004,0.06,-0.108,0.001,0.138,-0.004,0,0.400801067734191,-10.2372403569565,14.7975550274179,0.5113,SAND,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,4680,3265,Sanderling,Bécasseau sanderling
-0.098,0.086,-0.275,-0.097,0.076,-0.096,0,-9.33510962460791,-24.0427876775032,7.89625741572839,0.8874,SAND,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,4680,3265,Sanderling,Bécasseau sanderling
-0.191,0.04,-0.27,-0.191,-0.11,-0.19,0,-17.3867411848806,-23.6620505663147,-10.4165864703472,0.9998,BOGU,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,5080,3497,Bonaparte's Gull,Mouette de Bonaparte
-0.185,0.072,-0.323,-0.187,-0.031,-0.19,0,-16.8895716147874,-27.6026145632085,-3.05244269239741,0.9886,BOGU,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,5080,3497,Bonaparte's Gull,Mouette de Bonaparte
-0.151,0.076,-0.302,-0.152,0.003,-0.152,0,-14.0152301340794,-26.0661935110468,0.300450450337708,0.9714,BOGU,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,5080,3497,Bonaparte's Gull,Mouette de Bonaparte
-0.19,0.143,-0.507,-0.183,0.08,-0.172,0,-17.3040866056638,-39.7700229516935,8.32870676749586,0.9258,BOGU,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,5080,3497,Bonaparte's Gull,Mouette de Bonaparte
0.006,0.033,-0.06,0.006,0.072,0.006,0,0.601803605406492,-5.82354664157513,7.46553440638136,0.5895,RBGU,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
0.105,0.041,0.022,0.105,0.187,0.105,0,11.0710610355705,2.22437844704382,20.5627285049925,0.9901,RBGU,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
-0.08,0.043,-0.163,-0.08,0.006,-0.081,0,-7.68836536133642,-15.040881158541,0.601803605406492,0.9678,RBGU,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
-0.087,0.084,-0.247,-0.09,0.092,-0.095,0,-8.33229043668478,-21.8859306468623,9.63648220808169,0.8675,RBGU,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,5150,3542,Ring-billed Gull,Goéland à bec cerclé
-2.962,0,-9.657,-2.962,539.348,-2.918,43092936418028.2,-94.8284617092843,-99.9936023837185,1.72131449357561e+236,1,HERG,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,S,5170,3552,Herring Gull,Goéland argenté
-5.394,6.441,-19.331,-2.437,-0.864,-1.964,0.36,-99.5456238110434,-99.9999995976043,-57.8527185224082,0.9989,HERG,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,S,5170,3552,Herring Gull,Goéland argenté
-5.563,0.041,-11.874,-5.563,0.748,-3.354,1762667.972,-99.6162752629395,-99.9993030729489,111.277024775823,1,HERG,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,5170,3552,Herring Gull,Goéland argenté
-2.128,0.931,-4.569,-1.968,-0.798,-1.774,0,-88.0924793726769,-98.9631677141962,-54.9771478697211,0.9972,HERG,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,5170,3552,Herring Gull,Goéland argenté
-0.052,0.05,-0.154,-0.051,0.049,-0.05,0,-5.06711331571105,-14.2727978988543,5.02203507400281,0.8616,GBBG,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,S,5280,3606,Great Black-backed Gull,Goéland marin
0.087,0.022,0.041,0.088,0.13,0.089,0,9.08966797182778,4.18521055454795,13.8828383324622,0.9989,GBBG,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,S,5280,3606,Great Black-backed Gull,Goéland marin
