SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,1.863,0.17,1.542,1.858,2.211,1.849,0,2003,6.4430369174874,1.18530485132037,5.25773206616704,7.62834176880777,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.11,0.165,1.798,2.105,2.447,2.096,0,2004,8.24824128462666,1.17939311871139,7.06884816591527,9.42763440333805,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.609,0.16,2.307,2.604,2.936,2.596,0,2005,13.5854585982386,1.17351087099181,12.4119477272468,14.7589694692304,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.607,0.159,2.307,2.603,2.933,2.594,0,2006,13.5583148338544,1.17233794668072,12.3859768871737,14.7306527805351,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.853,0.158,2.555,2.849,3.177,2.84,0,2007,17.339723058961,1.17116619470767,16.1685568642534,18.5108892536687,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.914,0.159,2.613,2.909,3.24,2.901,0,2008,18.4303728116763,1.17233794668072,17.2580348649956,19.6027107583571,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.548,0.158,3.25,3.544,3.871,3.535,0,2009,34.7437604328672,1.17116619470767,33.5725942381596,35.9149266275749,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.16,0.159,2.86,3.156,3.487,3.146,0,2010,23.5705959290681,1.17233794668072,22.3982579823874,24.7429338757488,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.367,0.158,3.069,3.363,3.691,3.354,0,2011,28.9914221992402,1.17116619470767,27.8202560045325,30.1625883939478,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.143,0.16,1.84,2.139,2.471,2.13,0,2012,8.52497422751828,1.17351087099181,7.35146335652647,9.69848509851009,2003-2018,all years,Fall,NegBinomial,CMMN,PIBO,PIBO,O,230,Branta canadensis,Canada Goose,Bernache du Canada
