mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.026,0.037,-0.045,0.025,0.102,0.024,0,2.6340948473442,-4.40025181669,10.7383471727933,0.7686,CAGO,2003-2018,all years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.065,0.044,-0.148,-0.066,0.026,-0.067,0,-6.29325366225966,-13.7568885057954,2.6340948473442,0.9359,CAGO,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.013,0.021,-0.031,0.014,0.054,0.015,0,1.30848673598092,-3.05244269239741,5.54846021550801,0.7515,CAGO,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.05,0.034,-0.02,0.05,0.117,0.051,0,5.12710963760241,-1.98013266932447,12.4119429690537,0.9354,CAGO,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.256,0.122,0.029,0.249,0.527,0.24,0,29.1752727939704,2.94245944751308,69.3843149248619,0.9837,WODU,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,360,259,Wood Duck,Canard branchu
0.19,0.252,-0.334,0.195,0.685,0.203,0,20.9249597657251,-28.3946217772791,98.377183553716,0.8049,WODU,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
-0.002,0.036,-0.066,-0.005,0.08,-0.009,0,-0.199800133266692,-6.38691357083812,8.32870676749586,0.5578,WODU,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
0.038,0.035,-0.03,0.037,0.113,0.035,0,3.87312328784977,-2.95544664514918,11.9631932948586,0.8838,WODU,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,360,259,Wood Duck,Canard branchu
0,0.066,-0.13,-0.002,0.14,-0.003,0,0,-12.1904569079439,15.0273798857227,0.523,MALL,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,451,310,Mallard,Canard colvert
0.001,0.122,-0.26,0.005,0.235,0.011,0,0.100050016670838,-22.8948414196434,26.4908768732892,0.5187,MALL,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,451,310,Mallard,Canard colvert
-0.057,0.045,-0.146,-0.059,0.04,-0.061,0,-5.54059306334767,-13.5842296815357,4.08107741923882,0.9095,MALL,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.043,0.032,-0.023,0.044,0.106,0.044,0,4.39378948506126,-2.27375162267229,11.1821876506531,0.9161,MALL,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.142,0.034,-0.211,-0.142,-0.073,-0.141,0,-13.2378743514086,-19.0225933118724,-7.03991699742073,0.9996,BWTE,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
-0.108,0.062,-0.228,-0.11,0.022,-0.112,0,-10.2372403569565,-20.3875740164546,2.22437844704382,0.9548,BWTE,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
-0.375,0.092,-0.575,-0.369,-0.208,-0.358,0,-31.2710721209028,-43.7295131193044,-18.7792963288061,0.9998,LESC,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,690,432,Lesser Scaup,Petit Fuligule
-0.575,0.186,-1.006,-0.557,-0.254,-0.529,0,-43.7295131193044,-63.4321226869463,-22.4308197953524,0.9986,LESC,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,690,432,Lesser Scaup,Petit Fuligule
-0.058,0.106,-0.276,-0.058,0.159,-0.058,0,-5.63500525632015,-24.1187069238759,17.2337946680718,0.7467,BUFF,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
-0.298,0.075,-0.456,-0.296,-0.147,-0.294,0,-25.7698660252226,-36.6186162901451,-13.6706022583681,0.9982,BUFF,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
0.047,0.038,-0.028,0.047,0.123,0.047,0,4.81220090796557,-2.76116331987531,13.0884420947489,0.9032,BUFF,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
-0.093,0.087,-0.264,-0.095,0.088,-0.097,0,-8.88064997038595,-23.2026460343294,9.19881220281975,0.8691,BUFF,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,820,473,Bufflehead,Petit Garrot
-0.042,0.076,-0.198,-0.042,0.11,-0.041,0,-4.11302194275155,-17.9630146862169,11.6278070458871,0.7327,COGO,2003-2018,all years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
0.068,0.134,-0.208,0.07,0.334,0.073,0,7.03653084787743,-18.7792963288061,39.6543143574505,0.7192,COGO,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,Poisson,NA,O,830,474,Common Goldeneye,Garrot à oeil d'or
-0.088,0.076,-0.233,-0.091,0.077,-0.094,0,-8.42391232766744,-20.7846426475686,8.00420763926004,0.8953,RBME,2003-2018,all years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.101,0.119,-0.354,-0.098,0.13,-0.094,0,-9.60669671141359,-29.8125032644606,13.8828383324622,0.8305,RBME,2008-2018,10-years,Fall,CMMN,PIBO,PIBO,Poisson,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.017,0.037,-0.092,-0.017,0.055,-0.016,0,-1.68563153650904,-8.78948504549096,5.65406146754943,0.6849,RBME,2003-2018,all years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
-0.018,0.061,-0.138,-0.019,0.11,-0.02,0,-1.78389676416992,-12.8901308254202,11.6278070458871,0.6355,RBME,2008-2018,10-years,Spring,CMMN,PIBO,PIBO,NegBinomial,NA,O,890,495,Red-breasted Merganser,Harle huppé
