mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.147,0.046,-0.249,-0.143,-0.066,-0.138,0,-13.6706022583681,-22.04200266153,-6.38691357083812,0.9984,TRFL,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.131,0.077,-0.001,0.122,0.314,0.109,0,13.996778131199,-0.0999500166624978,36.8889736547376,0.9738,TRFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.09,0.037,0.019,0.09,0.164,0.089,0,9.41742837052104,1.91816486174081,17.8214315092722,0.9922,LEFL,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
0.047,0.027,-0.006,0.047,0.101,0.047,0,4.81220090796557,-0.598203594606472,10.6276641763424,0.9538,LEFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
0.092,0.035,0.022,0.092,0.162,0.092,0,9.63648220808169,2.22437844704382,17.5860241321,0.9941,EAPH,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12300,8953,Eastern Phoebe,Moucherolle phébi
0.126,0.036,0.057,0.126,0.197,0.125,0,13.4282168283025,5.86558103955002,21.7744040705908,0.9997,SOVI,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,13390,9922,solitary vireo sp.,Viréo à tête bleue, V. de Cassin ou V. plombé
-0.001,0.036,-0.071,-0.001,0.072,-0.002,0,-0.0999500166624978,-6.85381078724079,7.46553440638136,0.5114,WAVI,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,ML,13460,9925,Warbling Vireo,Viréo mélodieux
-0.031,0.032,-0.093,-0.031,0.033,-0.031,0,-3.05244269239741,-8.88064997038595,3.35505392413056,0.8288,PHVI,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,13480,9924,Philadelphia Vireo,Viréo de Philadelphie
-0.039,0.033,-0.104,-0.039,0.026,-0.038,0,-3.82492908536333,-9.87747025787952,2.6340948473442,0.8817,REVI,2009-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,41384,9930,Red-eyed Vireo,Viréo aux yeux rouges
0.07,0.038,-0.004,0.07,0.144,0.07,0,7.25081812542165,-0.399201065600852,15.4884108524914,0.9682,REVI,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,41384,9930,Red-eyed Vireo,Viréo aux yeux rouges
