SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,2.226,0.26,1.71,2.225,2.736,2.222,0,2008,9.26274091499483,1.29693008666577,7.96581082832906,10.5596710016606,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.416,0.261,1.902,2.415,2.931,2.41,0,2009,11.2009657246609,1.29822766543369,9.90273805922718,12.4991933900946,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.56,0.261,2.045,2.559,3.075,2.555,0,2010,12.9358173155431,1.29822766543369,11.6375896501094,14.2340449809768,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.039,0.263,1.512,2.041,2.547,2.04,0,2011,7.68292243370327,1.30082671895172,6.38209571475155,8.983749152655,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.007,0.264,1.49,2.005,2.529,2,0,2012,7.44096094664555,1.30212819630089,6.13883275034465,8.74308914294644,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.832,0.265,1.306,1.832,2.349,1.83,0,2013,6.24636690793109,1.30343097577837,4.94293593215272,7.54979788370946,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.246,0.263,1.731,2.244,2.765,2.239,0,2014,9.44986069379839,1.30082671895172,8.14903397484666,10.7506874127501,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.222,0.264,1.7,2.221,2.74,2.218,0,2015,9.22576395455833,1.30212819630089,7.92363575825743,10.5278921508592,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.467,0.274,1.931,2.465,3.006,2.459,0,2016,11.7870326589411,1.31521480223872,10.4718178567024,13.1022474611798,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.931,0.285,0.373,0.93,1.487,0.927,0,2017,2.53704495447259,1.32976202812147,1.20728292635111,3.86680698259406,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.225,0.27,1.7,2.222,2.758,2.216,0,2018,9.25348280390689,1.30996445073325,7.94351835317365,10.5634472546401,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.114,0.113,1.896,2.113,2.339,2.111,0,2008,8.28130032376474,1.11963193294859,7.16166839081615,9.40093225671332,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.99,0.114,1.77,1.988,2.216,1.986,0,2009,7.31553376230957,1.12075212488415,6.19478163742541,8.43628588719372,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.623,0.121,1.387,1.622,1.863,1.621,0,2010,5.06827234917595,1.12862491236734,3.93964743680861,6.1968972615433,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.653,0.117,1.425,1.652,1.885,1.651,0,2011,5.2226242215196,1.12411942969054,4.09850479182907,6.34674365121014,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.635,0.117,1.408,1.634,1.867,1.633,0,2012,5.12945799702716,1.12411942969054,4.00533856733662,6.2535774267177,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.721,0.118,1.492,1.72,1.957,1.718,0,2013,5.59011578593555,1.12524411136734,4.46487167456821,6.71535989730289,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.832,0.117,1.605,1.831,2.063,1.829,0,2014,6.24636690793109,1.12411942969054,5.12224747824055,7.37048633762163,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.626,0.119,1.396,1.625,1.862,1.622,0,2015,5.08349999627339,1.12636991828835,3.95713007798504,6.20986991456175,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.578,0.126,1.334,1.576,1.828,1.574,0,2016,4.84525560305654,1.13428216828303,3.71097343477352,5.97953777133957,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.749,0.13,1.498,1.748,2.008,1.746,0,2017,5.7488509496722,1.13882838332462,4.61002256634758,6.88767933299682,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.33,0.134,1.07,1.329,1.595,1.328,0,2018,3.78104338756878,1.14339281964465,2.63765056792413,4.92443620721343,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
MUSW,2.244,0.144,1.969,2.243,2.523,2.242,0,2008,9.43097985953866,1.15488410852491,8.27609575101375,10.5858639680636,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.156,0.146,1.876,2.156,2.437,2.155,0,2009,8.63652238453115,1.1571961880508,7.47932619648036,9.79371857258195,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.539,0.146,2.26,2.538,2.823,2.536,0,2010,12.6669976375858,1.1571961880508,11.509801449535,13.8241938256366,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.899,0.142,2.624,2.9,3.171,2.899,0,2011,18.155980308118,1.15257664853701,17.003403659581,19.308556956655,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.348,0.146,2.071,2.347,2.634,2.344,0,2012,10.4646195424438,1.1571961880508,9.307423354393,11.6218157304946,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.823,0.145,2.547,2.821,3.105,2.819,0,2013,16.8272567955368,1.15603957026802,15.6712172252688,17.9832963658048,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.143,0.148,1.859,2.143,2.431,2.141,0,2014,8.52497422751828,1.15951289636297,7.36546133115531,9.68448712388126,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,2.317,0.147,2.033,2.317,2.599,2.316,0,2015,10.1451930279333,1.15835396302986,8.98683906490343,11.3035469909631,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,1.81,0.158,1.506,1.81,2.115,1.809,0,2016,6.11044743223061,1.17116619470767,4.93928123752294,7.28161362693828,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,0.321,0.181,-0.034,0.321,0.671,0.323,0,2017,1.37850558089375,1.1984151792932,0.180090401600554,2.57692076018695,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,1.233,0.158,0.929,1.233,1.538,1.233,0,2018,3.43150863583854,1.17116619470767,2.26034244113087,4.60267483054621,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,S,270,Cygnus olor,Mute Swan,Cygne tuberculé
MUSW,0.809,0.108,0.596,0.81,1.021,0.81,0,2008,2.24566120226923,1.11404774538647,1.13161345688276,3.3597089476557,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,L,270,Cygnus olor,Mute Swan,Cygne tuberculé
