mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.019,0.031,-0.08,-0.02,0.045,-0.021,0,-1.8820637757194,-7.68836536133642,4.60278599087169,0.7662,CAGO,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.028,0.012,-0.052,-0.028,-0.006,-0.028,0,-2.76116331987531,-5.06711331571105,-0.598203594606472,0.9923,CAGO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.118,0.076,-0.267,-0.119,0.042,-0.121,0,-11.1303947385383,-23.4326928534626,4.28944787507632,0.9433,MUSW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,S,270,198,Mute Swan,Cygne tuberculé
-0.096,0.091,-0.276,-0.097,0.093,-0.099,0,-9.15359839312938,-24.1187069238759,9.7461735268082,0.8775,MUSW,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,270,198,Mute Swan,Cygne tuberculé
0.639,0.162,0.335,0.631,0.989,0.617,0,89.4585346350085,39.7940385222467,168.854458304572,0.9997,TRUS,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,280,201,Trumpeter Swan,Cygne trompette
-0.164,0.072,-0.308,-0.165,-0.019,-0.165,0,-15.1257978119793,-26.5084681990931,-1.8820637757194,0.9845,GADW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,390,285,Gadwall,Canard chipeau
-0.235,0.024,-0.283,-0.235,-0.189,-0.235,0,-20.9429150371264,-24.6480212140283,-17.2213493305266,1,GADW,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,390,285,Gadwall,Canard chipeau
0.068,0.094,-0.127,0.07,0.254,0.072,0,7.03653084787743,-11.9266327402843,28.9171804267804,0.8002,ABDU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,440,330,American Black Duck,Canard noir
-0.03,0.025,-0.078,-0.031,0.02,-0.031,0,-2.95544664514918,-7.50355734564607,2.02013400267558,0.8983,MALL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.042,0.016,-0.075,-0.042,-0.01,-0.041,0,-4.11302194275155,-7.22565136714471,-0.995016625083189,0.9916,MALL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.004,0.24,-0.487,0.006,0.476,0.008,0,0.400801067734191,-38.5532967055369,60.9623015958437,0.5071,GWTE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
0.364,0.08,0.198,0.365,0.521,0.369,0,43.9074214158046,21.8962393821643,68.3710518642818,0.9998,GRSC,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,680,428,Greater Scaup,Fuligule milouinan
-0.045,0.114,-0.287,-0.042,0.177,-0.038,0,-4.40025181669,-24.9488271162932,19.3631093127139,0.6781,GRSC,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,680,428,Greater Scaup,Fuligule milouinan
-0.432,0.274,-1.097,-0.399,0.019,-0.357,0,-35.0790623314853,-66.6128803631906,1.91816486174081,0.9729,LESC,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,S,690,432,Lesser Scaup,Petit Fuligule
0.291,0.079,0.138,0.288,0.456,0.283,0,33.7764583950035,14.7975550274179,57.7750344766478,0.9994,WWSC,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,45994,461,White-winged Scoter,Macreuse à ailes blanches
2.082,0.954,0.656,1.925,4.518,1.728,0,702.049387174074,92.7068622785935,9065.21103310101,0.9955,LTDU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,810,472,Long-tailed Duck,Harelde kakawi
