SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,2.222,0.262,1.699,2.222,2.735,2.219,0,2008,9.22576395455833,1.29952654242938,7.92623741212895,10.5252904969877,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.425,0.264,1.903,2.424,2.944,2.42,0,2009,11.3022294192796,1.30212819630089,10.0001012229787,12.6043576155805,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.561,0.263,2.04,2.561,3.08,2.557,0,2010,12.9487596029238,1.30082671895172,11.6479328839721,14.2495863218755,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.058,0.266,1.523,2.06,2.572,2.06,0,2011,7.83029355218137,1.30473505868693,6.52555849349444,9.13502861086829,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.02,0.266,1.495,2.018,2.546,2.013,0,2012,7.53832493366192,1.30473505868693,6.23358987497499,8.84305999234885,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.853,0.268,1.319,1.853,2.374,1.851,0,2013,6.37892762899815,1.30734714001494,5.07158048898322,7.68627476901309,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.283,0.266,1.76,2.281,2.807,2.276,0,2014,9.80605448984741,1.30473505868693,8.50131943116048,11.1107895485343,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.248,0.267,1.718,2.248,2.77,2.244,0,2015,9.46877932751349,1.30604044633065,8.16273888118284,10.7748197738441,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.6,0.281,2.052,2.599,3.153,2.593,0,2016,13.4637380350017,1.32445360393526,12.1392844310664,14.7881916389369,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
