mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.005,0.033,-0.069,-0.005,0.063,-0.006,0,-0.498752080731768,-6.6673319921798,6.50268392313054,0.5743,CAGO,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.018,0.014,-0.046,-0.018,0.008,-0.018,0.001,-1.78389676416992,-4.49580378092853,0.803208550427348,0.9261,CAGO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.101,0.074,-0.25,-0.103,0.054,-0.104,0,-9.60669671141359,-22.1199216928595,5.54846021550801,0.9227,MUSW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,S,270,198,Mute Swan,Cygne tuberculé
-0.085,0.089,-0.261,-0.086,0.102,-0.088,0,-8.14877155985426,-22.9719080384921,10.7383471727933,0.8532,MUSW,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,270,198,Mute Swan,Cygne tuberculé
0.669,0.162,0.367,0.66,1.019,0.643,0,95.2284060108339,44.3397919115178,177.042295533563,0.9999,TRUS,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,280,201,Trumpeter Swan,Cygne trompette
-0.153,0.075,-0.305,-0.153,-0.004,-0.153,0,-14.1870278188606,-26.2876625608372,-0.399201065600852,0.9789,GADW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,390,285,Gadwall,Canard chipeau
-0.226,0.024,-0.273,-0.226,-0.179,-0.225,0,-20.2281898334326,-23.8907212371066,-16.3894100602964,1,GADW,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,390,285,Gadwall,Canard chipeau
0.079,0.098,-0.128,0.082,0.272,0.084,0,8.22043220703148,-12.0146620855356,31.2587001311108,0.8135,ABDU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,440,330,American Black Duck,Canard noir
-0.016,0.029,-0.073,-0.017,0.045,-0.018,0,-1.58726799447149,-7.03991699742073,4.60278599087169,0.7418,MALL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.032,0.019,-0.07,-0.032,0.004,-0.032,0,-3.14934179208024,-6.76061800940517,0.400801067734191,0.9614,MALL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.013,0.241,-0.48,0.016,0.486,0.019,0,1.30848673598092,-38.1216608193859,62.5799996211341,0.5289,GWTE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
0.372,0.081,0.203,0.374,0.532,0.377,0,45.0632981293159,22.5072468247499,70.2333573366781,0.9999,GRSC,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,680,428,Greater Scaup,Fuligule milouinan
-0.037,0.112,-0.275,-0.034,0.181,-0.031,0,-3.63238646509465,-24.0427876775032,19.84151792932,0.6443,GRSC,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,680,428,Greater Scaup,Fuligule milouinan
