SpeciesCode,index,SD,lower_ci,middle_CI,upper_ci,mode,kld,year,index.bt,SD.bt,lower_ci.bt,upper_ci.bt,years,period,season,model_type,results_code,area_code,site,analysis_code,species_id,scientific_name,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,2.521,0.2,2.138,2.521,2.903,2.519,0,2008,12.4410314766114,1.22140275816017,11.2196287184512,13.6624342347716,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.467,0.199,3.097,3.464,3.86,3.456,0,2009,32.040476688253,1.22018196589987,30.8202947223531,33.2606586541528,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.663,0.199,3.291,3.66,4.053,3.654,0,2010,38.9781019509967,1.22018196589987,37.7579199850968,40.1982839168965,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,3.017,0.199,2.638,3.016,3.401,3.012,0,2011,20.4299099278112,1.22018196589987,19.2097279619114,21.6500918937111,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,4.22,0.199,3.851,4.216,4.612,4.208,0,2012,68.0334842894197,1.22018196589987,66.8133023235198,69.2536662553195,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,1.806,0.201,1.419,1.805,2.193,1.803,0,2013,6.08605446096817,1.22262477182333,4.86342968914484,7.30867923279149,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.217,0.199,1.848,2.213,2.61,2.205,0,2014,9.17975026487157,1.22018196589987,7.9595682989717,10.3999322307714,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.192,0.206,1.801,2.19,2.593,2.185,0,2015,8.95310142327395,1.22875320399531,7.72434821927864,10.1818546272693,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.476,0.216,2.072,2.471,2.904,2.462,0,2016,11.8935947630468,1.24110237900067,10.6524923840462,13.1346971420475,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,0.644,0.233,0.2,0.641,1.104,0.635,0,2017,1.90408199491858,1.26238147932726,0.641700515591319,3.16646347424584,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.274,0.212,1.873,2.271,2.69,2.265,0,2018,9.71819595588592,1.2361478850785,8.48204807080741,10.9543438409644,2008-2018,all years,Fall,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,-8.893,10.06,-32.589,-7.09,5.574,-1.803,0,2008,0.000137346998306648,23388.5063721571,-23388.5062348101,23388.5065095041,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.942,0.117,2.714,2.941,3.177,2.939,0,2009,18.9537158618059,1.12411942969054,17.8295964321154,20.0778352914965,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.636,0.122,2.399,2.635,2.878,2.633,0,2010,13.9572627496067,1.12975410178032,12.8275086478264,15.087016851387,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.547,0.119,2.315,2.546,2.784,2.544,0,2011,12.7687400456933,1.12636991828835,11.6423701274049,13.8951099639816,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.677,0.118,2.448,2.676,2.911,2.674,0,2012,14.5414035833293,1.12524411136734,13.4161594719619,15.6666476946966,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
CAGO,2.823,0.118,2.594,2.822,3.059,2.819,0,2013,16.8272567955368,1.12524411136734,15.7020126841695,17.9525009069041,2008-2018,all years,Spring,NegBinomial,CMMN,TTPBRS,TTPBRS,O,230,Branta canadensis,Canada Goose,Bernache du Canada
