mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.165,0.065,-0.287,-0.167,-0.026,-0.172,0,-15.2106295912084,-24.9488271162932,-2.56649103912506,0.9869,CAGO,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
0.242,0.304,-0.266,0.204,0.973,0.14,0,27.3794192816195,-23.3560872498981,164.587017536194,0.8176,CAGO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,230,168,Canada Goose,Bernache du Canada
-0.134,0.116,-0.353,-0.139,0.109,-0.147,0,-12.5409935396666,-29.7422806622758,11.5162350341448,0.8902,MUSW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,S,270,198,Mute Swan,Cygne tuberculé
0.185,0.345,-0.428,0.156,0.968,0.108,0,20.3218440127695,-34.8188585201268,163.267384280886,0.7019,MUSW,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,270,198,Mute Swan,Cygne tuberculé
0.593,0.188,0.257,0.578,1.013,0.555,0,80.940850671596,29.3045126759354,175.385018563101,0.9987,TRUS,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,280,201,Trumpeter Swan,Cygne trompette
-0.306,0.101,-0.498,-0.31,-0.083,-0.316,0,-26.36133805439,-39.225506509751,-7.96488527798753,0.9914,GADW,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,390,285,Gadwall,Canard chipeau
-0.589,0.116,-0.845,-0.579,-0.389,-0.557,0,-44.5118110724705,-57.0442641789261,-32.2265729986029,1,GADW,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,390,285,Gadwall,Canard chipeau
-0.167,0.349,-0.803,-0.19,0.657,-0.208,0,-15.3800388662812,-55.2017002815256,92.8996655264291,0.74,AMWI,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,420,292,American Wigeon,Canard d'Amérique
-0.037,0.099,-0.232,-0.039,0.174,-0.042,0,-3.63238646509465,-20.7053876693316,19.0055565820363,0.6829,ABDU,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,440,330,American Black Duck,Canard noir
-0.099,0.068,-0.222,-0.104,0.057,-0.111,0,-9.42572919764515,-19.9084635665341,5.86558103955002,0.9305,MALL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,451,310,Mallard,Canard colvert
0.279,0.325,-0.274,0.244,1.047,0.185,0,32.1807343869539,-23.9667924739118,184.909101128921,0.8312,MALL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,O,451,310,Mallard,Canard colvert
-0.493,0.154,-0.833,-0.483,-0.21,-0.466,0,-38.9208730934116,-56.5256901276392,-18.9415754029813,0.9988,BWTE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,520,274,Blue-winged Teal,Sarcelle à ailes bleues
-0.314,0.163,-0.62,-0.321,0.046,-0.329,0,-26.9480971840575,-46.2055562405326,4.70744109569372,0.965,NSHO,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,540,281,Northern Shoveler,Canard souchet
-0.266,0.122,-0.502,-0.271,-0.003,-0.277,0,-23.3560872498981,-39.4681189353776,-0.2995504496627,0.9776,GWTE,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
-0.132,0.305,-0.722,-0.141,0.518,-0.155,0,-12.3659004920627,-51.4220275696115,67.8666956213205,0.7037,CANV,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,O,630,407,Canvasback,Fuligule à dos blanc
